word,Davlan/afro-xlmr-mini,Davlan/afro-xlmr-base,Davlan/afro-xlmr-large,castorini/afriberta_large,FacebookAI/xlm-roberta-base,FacebookAI/xlm-roberta-large,sentence-transformers/LaBSE,coherent_per_native_linguist
muganga,▁mu | ganga,▁mu | ganga,▁mu | ganga,▁muganga,▁mu | ganga,▁mu | ganga,muganga,
aratwite,▁a | rat | wit | e,▁a | rat | wit | e,▁a | rat | wit | e,▁ara | twi | te,▁a | rat | wit | e,▁a | rat | wit | e,ara | ##tw | ##ite,
kwa,▁kwa,▁kwa,▁kwa,▁kwa,▁kwa,▁kwa,kwa,
ububabare,▁ubu | baba | re,▁ubu | baba | re,▁ubu | baba | re,▁ububabare,▁ubu | baba | re,▁ubu | baba | re,ububabare,
we,▁we,▁we,▁we,▁we,▁we,▁we,we,
umutwe,▁um | ut | we,▁um | ut | we,▁um | ut | we,▁umutwe,▁um | ut | we,▁um | ut | we,umutwe,
cyo,▁cy | o,▁cy | o,▁cy | o,▁cyo,▁cy | o,▁cy | o,cyo,
umwana,▁um | wana,▁um | wana,▁um | wana,▁umwana,▁um | wana,▁um | wana,umwana,
inama,▁in | ama,▁in | ama,▁in | ama,▁inama,▁in | ama,▁in | ama,inama,
impiswi,▁impi | s | wi,▁impi | s | wi,▁impi | s | wi,▁im | pi | swi,▁impi | s | wi,▁impi | s | wi,impi | ##s | ##wi,
ntashobora,▁ | ntas | ho | bora,▁ | ntas | ho | bora,▁ | ntas | ho | bora,▁nta | shobora,▁ | ntas | ho | bora,▁ | ntas | ho | bora,ntashobora,
gituza,▁gitu | za,▁gitu | za,▁gitu | za,▁gi | tu | za,▁gitu | za,▁gitu | za,gitu | ##za,
nda,▁ | nda,▁ | nda,▁ | nda,▁nda,▁ | nda,▁ | nda,nda,
menshi,▁men | shi,▁men | shi,▁men | shi,▁menshi,▁men | shi,▁men | shi,menshi,
arababara,▁araba | bara,▁araba | bara,▁araba | bara,▁ara | ba | bara,▁araba | bara,▁araba | bara,araba | ##bara,
bapima,▁ba | pi | ma,▁ba | pi | ma,▁ba | pi | ma,▁ba | pima,▁ba | pi | ma,▁ba | pi | ma,bap | ##ima,
maze,▁ma | ze,▁ma | ze,▁ma | ze,▁maze,▁ma | ze,▁ma | ze,maze,
w'amaraso,▁w | ' | amara | so,▁w | ' | amara | so,▁w | ' | amara | so,▁w | ' | amaraso,▁w | ' | amara | so,▁w | ' | amara | so,w | ' | amaraso,
nyuma,▁nyuma,▁nyuma,▁nyuma,▁nyuma,▁nyuma,▁nyuma,nyuma,
sinshobora,▁sin | sho | bora,▁sin | sho | bora,▁sin | sho | bora,▁sin | shobora,▁sin | sho | bora,▁sin | sho | bora,sins | ##hobora,
kuva,▁kuva,▁kuva,▁kuva,▁kuva,▁kuva,▁kuva,kuva,
ari,▁ari,▁ari,▁ari,▁ari,▁ari,▁ari,ari,
kurya,▁kur | ya,▁kur | ya,▁kur | ya,▁kurya,▁kur | ya,▁kur | ya,kurya,
kujya,▁ku | j | ya,▁ku | j | ya,▁ku | j | ya,▁kujya,▁ku | j | ya,▁ku | j | ya,kujya,
umuvuduko,▁um | uv | udu | ko,▁um | uv | udu | ko,▁um | uv | udu | ko,▁umu | vu | du | ko,▁um | uv | udu | ko,▁um | uv | udu | ko,umuvuduko,
sida,▁sida,▁sida,▁sida,▁sida,▁sida,▁sida,sida,
ye,▁ye,▁ye,▁ye,▁ye,▁ye,▁ye,ye,
numva,▁num | va,▁num | va,▁num | va,▁n | umva,▁num | va,▁num | va,numva,
kirimo,▁kirim | o,▁kirim | o,▁kirim | o,▁kiri | mo,▁kirim | o,▁kirim | o,kirimo,
mwinshi,▁m | win | shi,▁m | win | shi,▁m | win | shi,▁mwinshi,▁m | win | shi,▁m | win | shi,mwinshi,
amaze,▁ama | ze,▁ama | ze,▁ama | ze,▁amaze,▁ama | ze,▁ama | ze,amaze,
hari,▁hari,▁hari,▁hari,▁hari,▁hari,▁hari,hari,
buryo,,▁bur | yo,▁bur | yo,▁buryo,,,buryo,
ntahagarara,,▁ | nta | ha | gara | ra,,▁nta | hagarara,,,nta | ##haga | ##rara,
mubiri,,,▁mu | biri,▁mubiri,▁mu | biri,▁mu | biri,mubiri,
wose,,,▁wo | se,▁wose,▁wo | se,▁wo | se,,
wanjye,,,,▁wanjye,,,,
bibiri,,,,▁bibiri,,,,
