concept_id,person,urgency,english_gloss,the_question,your_ruling,your_notes
IF03,third,CRITICAL,fever and unable to drink,"RECLASSIFIED 2026-09-11 — `hold` alone was the wrong bucket. The criterion is checkable: this is a third-person row held for no reason of its own, solely because IF03 FIRST is flagged `needs_clinician`. Its first person carries the flag and it did not, so every clinician pack built from this column has shown one person of a two-person concept and silently dropped the other. Whether the underlying block is clinical or lexical is argued both ways in the record (docs/blocked.md 1a reads the IF family as WORD blocks; this row's first person says 'clinician/speaker'), and that argument does not change the filing: a row whose release depends entirely on a ruling about another row must be visible wherever that ruling is sought. `hold` stays yes — nothing generates here until IF03 first is ruled, and a ruling releases both persons together.",,
NE04,first,CRITICAL,sudden difficulty speaking,"sudden difficulty speaking. The symptom is the one that impairs reporting it; whether a patient can still say it is clinical. Held, not deleted.",,
NE05,first,URGENT,severe headache with vomiting and photophobia,"severe headache with vomiting and photophobia. FLAGGED 2026-09-05 with the authored phrase. The Kinyarwanda frames the light as the CAUSE of the headache, not as something that hurts the eyes, and the speaker says the causal framing is the natural one - so the phrase and the gloss make different claims about the same trigger. Separately the gloss names VOMITING and the phrase does not. Does the concept survive both differences, or should the gloss move to match what a patient actually says?",,
NE06,first,URGENT,new confusion today,"whether a patient who can accurately report new confusion is meaningfully confused is a clinical question, not a linguistic one. applies=yes stands; the first-person row is not written until a clinician settles it.",,
OB03,first,CRITICAL,cord or hand presenting before the baby,cord presentation is a specific obstetric emergency sign; wording needs clinician confirmation,,
OB03,third,CRITICAL,cord or hand presenting before the baby,cord presentation: wording needs clinician validation. DO NOT GENERATE until validated.,,
OB05,first,CRITICAL,fever with foul discharge after delivery,puerperal sepsis discharge description; wording needs clinician confirmation,,
OB06,first,CRITICAL,fetal demise - the baby has died in the womb,"fetal demise - the baby has died in the womb. FOR THE CLINICIAN SESSION, with EX43 and PA03. (1) Confirm CRITICAL. The phrase says the baby has died; the row was URGENT until today. (2) Confirm that fetal demise belongs in the triage taxonomy at all - it is a presentation where no intervention follows, which is different from every other CRITICAL here. (3) OB13 now holds 'reduced fetal movement' with no phrase; confirm that is the actionable concept and that it is worth an outreach question.",,
OB06,third,CRITICAL,fetal demise - the baby has died in the womb,"fetal demise - the baby has died in the womb. FOR THE CLINICIAN SESSION, with EX43 and PA03. (1) Confirm CRITICAL. The phrase says the baby has died; the row was URGENT until today. (2) Confirm that fetal demise belongs in the triage taxonomy at all - it is a presentation where no intervention follows, which is different from every other CRITICAL here. (3) OB13 now holds 'reduced fetal movement' with no phrase; confirm that is the actionable concept and that it is worth an outreach question.",,
OB13,first,URGENT,reduced fetal movement,reduced fetal movement. Does this presentation need to exist in the corpus if no natural Kinyarwanda phrase expresses it? It is the actionable half of what OB06 used to cover.,,
OB13,third,URGENT,reduced fetal movement,reduced fetal movement. Does this presentation need to exist in the corpus if no natural Kinyarwanda phrase expresses it? It is the actionable half of what OB06 used to cover.,,
PA08,first,URGENT,child with ear pain and discharge,"child with ear pain and discharge. FLAGGED 2026-09-05 with the authored phrase. The phrase now NAMES A CONDITION and no longer STATES THE SIGNS its gloss names - there is no pain and no discharge in 'Mfite umuhaha'. Two questions for a clinician: does 'umuhaha' map to acute otitis media specifically, or to something broader such as any ear complaint? And if broader, does this row still carry an URGENT presentation, or does the gloss need to follow the phrase? Same shape as NE05 and OB06 - the Kinyarwanda says something the English gloss does not.",,
PA08,third,URGENT,child with ear pain and discharge,"child with ear pain and discharge. FLAGGED 2026-09-05 with the authored phrase. The phrase now NAMES A CONDITION and no longer STATES THE SIGNS its gloss names - there is no pain and no discharge in 'Mfite umuhaha'. Two questions for a clinician: does 'umuhaha' map to acute otitis media specifically, or to something broader such as any ear complaint? And if broader, does this row still carry an URGENT presentation, or does the gloss need to follow the phrase? Same shape as NE05 and OB06 - the Kinyarwanda says something the English gloss does not.",,
