item,kind,detail,your_answer
EX07,taxonomy: NO anchor,cardiac_respiratory / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX08,taxonomy: NO anchor,chronic_care / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX09,taxonomy: NO anchor,chronic_care / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX10,taxonomy: NO anchor,chronic_care / ROUTINE / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX11,taxonomy: NO anchor,chronic_care / ROUTINE / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX12,taxonomy: NO anchor,gastrointestinal / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX13,taxonomy: NO anchor,gastrointestinal / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX14,taxonomy: NO anchor,gastrointestinal / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX15,taxonomy: NO anchor,gastrointestinal / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX16,taxonomy: NO anchor,gastrointestinal / ROUTINE / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX17,taxonomy: NO anchor,gastrointestinal / ROUTINE / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
GI08,taxonomy: NO anchor,gastrointestinal / ROUTINE / mild indigestion after eating -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX18,taxonomy: NO anchor,haemorrhage_trauma / CRITICAL / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX19,taxonomy: NO anchor,haemorrhage_trauma / CRITICAL / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX20,taxonomy: NO anchor,haemorrhage_trauma / CRITICAL / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX21,taxonomy: NO anchor,haemorrhage_trauma / CRITICAL / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX22,taxonomy: NO anchor,haemorrhage_trauma / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX23,taxonomy: NO anchor,haemorrhage_trauma / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
HT01,taxonomy: NO anchor,haemorrhage_trauma / CRITICAL / bleeding not controlled by pressure -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
HT06,taxonomy: NO anchor,"haemorrhage_trauma / URGENT / wound red, swollen and discharging pus -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?",
EX24,taxonomy: NO anchor,infectious_fever / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX25,taxonomy: NO anchor,infectious_fever / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX26,taxonomy: NO anchor,infectious_fever / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX27,taxonomy: NO anchor,infectious_fever / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX28,taxonomy: NO anchor,infectious_fever / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX29,taxonomy: NO anchor,infectious_fever / ROUTINE / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX30,taxonomy: NO anchor,infectious_fever / ROUTINE / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX31,taxonomy: NO anchor,infectious_fever / ROUTINE / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
IF07,taxonomy: NO anchor,"infectious_fever / ROUTINE / low fever one day, otherwise well -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?",
EX32,taxonomy: NO anchor,neurological / CRITICAL / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX34,taxonomy: NO anchor,neurological / CRITICAL / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX35,taxonomy: NO anchor,neurological / CRITICAL / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX36,taxonomy: NO anchor,neurological / ROUTINE / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX37,taxonomy: NO anchor,neurological / ROUTINE / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
NE01,taxonomy: NO anchor,neurological / CRITICAL / continuous convulsion -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
NE02,taxonomy: NO anchor,"neurological / CRITICAL / unconscious, cannot be roused -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?",
NE03,taxonomy: NO anchor,neurological / CRITICAL / sudden one-sided weakness -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
NE04,taxonomy: NO anchor,neurological / CRITICAL / sudden difficulty speaking -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
NE08,taxonomy: NO anchor,neurological / ROUTINE / intermittent mild headache -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX38,taxonomy: NO anchor,obstetric / CRITICAL / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX39,taxonomy: NO anchor,obstetric / CRITICAL / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX40,taxonomy: NO anchor,paediatric / CRITICAL / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX41,taxonomy: NO anchor,paediatric / CRITICAL / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX42,taxonomy: NO anchor,paediatric / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX43,taxonomy: NO anchor,paediatric / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
PA01,taxonomy: NO anchor,paediatric / CRITICAL / child convulsing -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
PA06,taxonomy: NO anchor,paediatric / URGENT / child with fever and rash -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
PA10,taxonomy: NO anchor,paediatric / ROUTINE / child due for vaccination -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX44,taxonomy: NO anchor,preventive / ROUTINE / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX45,taxonomy: NO anchor,preventive / ROUTINE / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX46,taxonomy: NO anchor,preventive / ROUTINE / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX47,taxonomy: NO anchor,preventive / ROUTINE / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
