id,cue,reporter,age_group,text_kw,author,label
286,Has a wound on the sole that he only noticed when it smelled,Self,Umusaza/Umukecuru,Afite igikomere ku kirenge yakomeje kutamenya kugeza ubwo gitangiye kunuka.,,URGENT
287,Woman says she cannot feel one side of her body since waking,Self,Umusaza/Umukecuru,Umugore avuga ko kuva abyutse atakumva uruhande rumwe rw'umubiri we.,,CRITICAL
288,Says she stopped the family planning injection and has not bled since,Self,Umuntu mukuru,Avuga ko yahagaritse urushinge rwo kuboneza urubyaro kandi kuva icyo gihe akaba atarongera kuva amaraso.,,ROUTINE
289,Man brought after drinking a bottle of local brew and passing out,Carer,Ingimbi/Umwangavu,Umugabo yazanywe nyuma yo kunywa icupa ry'inzoga y'iwacu akagwa igihumure.,,CRITICAL
290,Child has a fever and a rash that started on the face,Carer,Umwana,Umwana afite umuriro n'utubyimba ku ruhu byatangiriye mu maso.,,URGENT
291,Says he has been told he has high pressure but feels nothing,Self,Umuntu mukuru,Avuga ko yabwiwe ko afite umuvuduko w'amaraso ukabije ariko akaba nta kintu yumva.,,ROUTINE
292,Came for a referral letter to the district hospital,Self,Umuntu mukuru,Yaje gufata urupapuro rwo koherezwa ku bitaro by'akarere.,,ROUTINE
293,Says the pain is in the calf and the leg is hot,Self,Umuntu mukuru,Avuga ko ababara mu mutsi w'inyana kandi ukuguru gushyuha.,,URGENT
294,Baby's eye has been sticky and yellow since two days old,Carer,Impinja,Uruhinja rufite ijisho rifatirana kandi risa n'umuhondo kuva rufite iminsi ibiri.,,URGENT
295,Says he works at night and cannot sleep in the day,Self,Umuntu mukuru,Avuga ko akora nijoro kandi akaba adashobora gusinzira ku manywa.,,ROUTINE
296,Child has a cough and the ribs pull in when breathing,Carer,Impinja,Umwana arakorora kandi imbavu zigasa n'izijya imbere iyo ahumeka.,,URGENT
297,Woman says her husband refuses to let her use family planning,Self,Umuntu mukuru,Umugore avuga ko umugabo we amubuza gukoresha uburyo bwo kuboneza urubyaro.,,ROUTINE
298,Says the burn from last week is now weeping and smells,Self,Umwana,Avuga ko igisebe cy'ubushye yagize mu cyumweru gishize ubu gisohora amazi kandi kinuka.,,URGENT
299,Man says his back gave way while lifting and he cannot stand straight,Self,Umuntu mukuru,Umugabo avuga ko umugongo wamunaniye ubwo yazamuraga ikintu kandi ubu akaba adashobora guhagarara yemye.,,ROUTINE
300,Came only to collect a health insurance card,Self,Umuntu mukuru,Yaje gusa gufata ikarita y'ubwishingizi bw'ubuzima.,,ROUTINE
301,Says the child has been passing worms,Carer,Umwana,Avuga ko umwana amaze igihe asohora inzoka mu musarani.,,ROUTINE
302,Has a swelling in the groin that comes when he coughs,Self,Umuntu mukuru,Afite kubyimba mu ihina kuza iyo akoroye.,,ROUTINE
303,Woman says she has been bleeding heavily since a procedure elsewhere,Self,Umuntu mukuru,Umugore avuga ko amaze kuva amaraso menshi kuva yakorerwa igikorwa cyo kwa muganga ahandi.,,CRITICAL
304,Says the pain in the ear started after a slap,Self,Umwana,Avuga ko ububabare mu gutwi bwatangiye nyuma yo gukubitwa urushyi.,,URGENT
305,Man says he has been losing weight but eating normally,Self,Umuntu mukuru,Umugabo avuga ko amaze kugabanuka ibiro ariko arya nk'uko bisanzwe.,,ROUTINE
306,Child has a bruise on the back that the mother cannot explain,Carer,Umwana,Umwana afite igikomere cy'ubururu ku mugongo kandi nyina ntazi uko cyabaye.,,URGENT
307,Says the tablets ran out because the clinic had none last month,Self,Umuntu mukuru,Avuga ko imiti yamushizeho kuko ivuriro ritari rifite imiti ukwezi gushize.,,ROUTINE
308,Has been vomiting since starting the malaria tablets,Self,Umwana,Amaze kuruka kuva atangiye imiti ya malariya.,,URGENT
309,Woman says she is nine months pregnant and has not felt movement today,Self,Umuntu mukuru,Umugore avuga ko atwite amezi icyenda kandi uyu munsi akaba atarumva umwana agenda.,,URGENT
310,Says he cut himself on a rusty sheet of iron,Self,Umuntu mukuru,Avuga ko yikase ku isahani y'icyuma cyafashwe n'ingese.,,URGENT
311,Child has been crying and refusing to sit down,Carer,Umwana,Umwana amaze kurira kandi yanga kwicara.,,CANNOT CLASSIFY
312,Says she was given an injection by a neighbour and the site is hard,Self,Umuntu mukuru,Avuga ko yatewe urushinge n'umuturanyi kandi aho yarutereye hakaba hakomeye.,,URGENT
313,Man says his hand was caught in a maize mill,Self,Umuntu mukuru,Umugabo avuga ko ukuboko kwe kwafashwe n'imashini isya ibigori.,,CRITICAL
314,Came to ask whether the child's fever after vaccination is normal,Carer,Impinja,Yaje kubaza niba umuriro w'umwana nyuma yo gukingirwa ari ibisanzwe.,,ROUTINE
315,Says the sore throat has lasted three weeks and the voice changed,Self,Umuntu mukuru,Avuga ko umuhogo umaze ibyumweru bitatu ubabara kandi ijwi rikaba ryarahindutse.,,ROUTINE
316,Has a lump in the armpit that is not painful,Self,Umuntu mukuru,Afite ikibyimba mu kwaha kitamubabaza.,,ROUTINE
317,Says the child fell from a bed and vomited twice afterwards,Carer,Impinja,Avuga ko umwana yaguye ku buriri maze nyuma akaruka inshuro ebyiri.,,URGENT
318,Woman says she has pain when passing urine and is pregnant,Self,Umuntu mukuru,Umugore avuga ko ababara iyo yihagarika kandi atwite.,,URGENT
319,Says he has been stung all over by wasps in the roof,Self,Umuntu mukuru,Avuga ko yatewe n'inzuki z'intubamubiri ahantu henshi ubwo zari mu gisenge.,,URGENT
320,Old man says he cannot hear on one side since a loud bang,Self,Umusaza/Umukecuru,Umusaza avuga ko atumva ku gutwi kumwe kuva yumvise urusaku rukomeye.,,ROUTINE
321,Child has been drinking a lot and passing urine often,Carer,Umwana,Umwana amaze kunywa amazi menshi kandi akihagarika kenshi.,,URGENT
322,Says the wound on the leg has black edges,Self,Umusaza/Umukecuru,Avuga ko igikomere cyo ku kuguru gifite impande zirabura.,,URGENT
323,Came because the school requires a medical form,Carer,Ingimbi/Umwangavu,Yaje kuko ishuri risaba urupapuro rwa muganga.,,ROUTINE
324,Says the pain moved from the shoulder blade to the jaw,Self,Umusaza/Umukecuru,Avuga ko ububabare bwavuye ku rutugu bugera ku rwasaya.,,CRITICAL
325,Woman says the baby was born with a foot turned inward,Carer,Impinja,Umugore avuga ko uruhinja rwavutse ikirenge kimwe kireba imbere.,,ROUTINE
326,Says he has been having nightmares since the accident,Self,Ingimbi/Umwangavu,Avuga ko amaze kugira inzozi mbi kuva yagira impanuka.,,ROUTINE
327,Has an eye that waters constantly and the lid is turned in,Self,Umusaza/Umukecuru,Afite ijisho rihora ririmo amarira kandi umupfundikizo waryo uhindukiye imbere.,,ROUTINE
328,Child has a barking cough at night and is fine by morning,Carer,Umwana,Umwana arakorora nijoro nk'imbwa ariko mu gitondo akaba ameze neza.,,ROUTINE
329,Says the swelling started in the face and moved to the legs,Self,Umwana,Avuga ko kubyimba byatangiriye mu maso bikaza kugera ku maguru.,,URGENT
330,Man says a dog he does not know bit him and ran off,Self,Umuntu mukuru,Umugabo avuga ko yarumwe n'imbwa atazi maze igahunga.,,URGENT
331,Says she has not been able to eat since the operation,Self,Umuntu mukuru,Avuga ko kuva yakorerwa iyo operation atabasha kurya.,,URGENT
332,Came to ask if the child's birthmark is dangerous,Carer,Impinja,Yaje kubaza niba ikimenyetso umwana yavukanye ku ruhu ari akaga.,,ROUTINE
333,Says the chest pain is worse when pressing on it,Self,Ingimbi/Umwangavu,Avuga ko ububabare bwo mu gituza bwiyongera iyo agukandagiyeho.,,ROUTINE
334,Woman says she delivered at home and the placenta has not come,Carer,Umuntu mukuru,Umugore avuga ko yabyariye mu rugo kandi urusoro rutarasohoka.,,CRITICAL
335,Says his gums bleed when brushing,Self,Umuntu mukuru,Avuga ko ishinya ivamo amaraso iyo yoza amenyo.,,ROUTINE
336,Child has been rubbing the eyes and they are red and sticky,Carer,Umwana,Umwana amaze kwikuba mu maso kandi amaso ye aratukura kandi agafatirana.,,ROUTINE
337,Says he took his wife's tablets by mistake,Self,Umuntu mukuru,Avuga ko yibeshye akanywa imiti y'umugore we.,,CANNOT CLASSIFY
338,Has been told at a pharmacy to come for a proper examination,Self,Umuntu mukuru,Yabwiwe kuri farumasi ko agomba kuza kwa muganga kugira ngo asuzumwe neza.,,CANNOT CLASSIFY
339,Says the leg has been shorter since a childhood illness,Self,Umuntu mukuru,Avuga ko ukuguru kwe kwagabanutse kuva arwaye akiri umwana.,,ROUTINE
340,"Woman brought by her daughter, has stopped eating and drinking",Carer,Umusaza/Umukecuru,"Umugore wazanywe n'umukobwa we, amaze guhagarika kurya no kunywa.",,URGENT
341,Says the pain comes in waves and he cannot keep still,Self,Umuntu mukuru,Avuga ko ububabare buza bukagenda kandi ko adashobora gutuza hamwe.,,URGENT
342,Child fell into a water tank and was pulled out coughing,Carer,Umwana,"Umwana yaguye mu kigega cy'amazi, bamukuramo arakorora.",,CRITICAL
343,Says she has been feeling hot and cold for three days,Self,Ingimbi/Umwangavu,Avuga ko amaze iminsi itatu yumva ashyushye rimwe ubundi akumva akonje.,,URGENT
344,Man says his eye was hit by a branch while cutting trees,Self,Umuntu mukuru,Umugabo avuga ko ishami ry'igiti ryamukubise mu jisho ubwo yatemaga ibiti.,,URGENT
345,Came to ask whether her child's speech is delayed,Carer,Umwana,Yaje kubaza niba imvugo y'umwana we yaratinze.,,ROUTINE
346,Says the wound was treated with herbs and is now worse,Self,Umuntu mukuru,Avuga ko igikomere cyavuwe hakoreshejwe imiti gakondo ariko ubu kikaba cyarushijeho kuba kibi.,,URGENT
347,Has been short of breath for weeks and sleeps on three pillows,Self,Umusaza/Umukecuru,Amaze ibyumweru abura umwuka kandi aryama ashyize imitwe ku misago itatu.,,URGENT
348,Child has a swelling on the collarbone after falling,Carer,Umwana,Umwana afite kubyimba ku igufa ryo hejuru y'igituza nyuma yo kugwa.,,URGENT
349,Says she has been told she cannot conceive and wants advice,Self,Umuntu mukuru,Avuga ko yabwiwe ko adashobora gusama kandi ashaka inama.,,ROUTINE
350,Man says the pain in his foot started at night and is unbearable,Self,Umuntu mukuru,Umugabo avuga ko ububabare bwo mu kirenge bwatangiriye nijoro kandi bukaba bukabije cyane.,,URGENT
351,Says the child has been passing blood in the stool,Carer,Umwana,Avuga ko umwana amaze iminsi asohora amaraso mu mwanda.,,URGENT
352,Woman says she was raped and does not want anyone told,Self,Ingimbi/Umwangavu,Umugore avuga ko yafashwe ku ngufu kandi akaba adashaka ko hagira ubibwira undi.,,URGENT
353,Says the injection site from a month ago is still hard and sore,Self,Umwana,Avuga ko aho yatewe urushinge hashize ukwezi hakiri hakomeye kandi hababara.,,ROUTINE
354,Came because a health worker visited the home and sent him,Self,Umusaza/Umukecuru,Yaje kuko umukozi w'ubuzima yamusuye mu rugo akamwohereza kwa muganga.,,CANNOT CLASSIFY
355,Says his breathing became difficult after eating groundnuts,Self,Umwana,Avuga ko guhumeka byamugoye nyuma yo kurya ubunyobwa.,,CRITICAL
356,Child has been screaming and drawing the legs up intermittently,Carer,Impinja,Umwana arataka kandi rimwe na rimwe akikururira amaguru ku nda.,,URGENT
357,Says the tablets are for diabetes but he shares them with his wife,Self,Umusaza/Umukecuru,Avuga ko imiti ari iyo kuvura diyabete ariko akayisangiza umugore we.,,ROUTINE
358,Has a wound on the head that stopped bleeding but keeps opening,Self,Umwana,Afite igikomere ku mutwe cyahagaritse kuva amaraso ariko kigakomeza gufunguka.,,URGENT
359,Woman says she feels burning when the baby latches,Self,Umuntu mukuru,Umugore avuga ko yumva ububabare bwo gushya iyo uruhinja rutangiye konka.,,ROUTINE
360,Says he was in a fight and cannot see out of one eye,Self,Ingimbi/Umwangavu,Avuga ko yagiranye imirwano n'umuntu kandi ubu akaba atabona n'ijisho rimwe.,,CRITICAL
361,Came to ask why the cough medicine did not help,Self,Umuntu mukuru,Yaje kubaza impamvu umuti w'inkorora utamufashije.,,ROUTINE
362,Says the child has been walking on tiptoes since he started walking,Carer,Umwana,Avuga ko umwana agenda ahagaze ku ntoki z'ibirenge kuva yatangira kugenda.,,ROUTINE
363,Man says his chest was crushed between a vehicle and a wall,Carer,Umuntu mukuru,Umugabo avuga ko igituza cye cyafashwe hagati y'imodoka n'urukuta.,,CRITICAL
364,Says the itching started after sleeping in a new place,Self,Ingimbi/Umwangavu,Avuga ko kuryaryatwa byatangiye nyuma yo kuryama ahantu hashya.,,ROUTINE
365,Woman says she has had three miscarriages and wants to know why,Self,Umuntu mukuru,Umugore avuga ko amaze gukuramo inda inshuro eshatu kandi ashaka kumenya impamvu.,,ROUTINE
366,Says he has pain when he opens his mouth to eat,Self,Umuntu mukuru,Avuga ko ababara iyo afungura umunwa kugira ngo arye.,,ROUTINE
367,Child has a swollen face in the morning that goes by afternoon,Carer,Umwana,Umwana abyimba mu maso mu gitondo ariko bikagabanuka nyuma ya saa sita.,,URGENT
368,Says she stopped the HIV tablets when she felt better,Self,Umuntu mukuru,Avuga ko yahagaritse imiti ya virusi itera SIDA amaze kumva ameze neza.,,ROUTINE
369,Has a burn from boiling oil across the forearm,Self,Umuntu mukuru,Afite ubushye bwatewe n'amavuta abira ku gice cy'ukuboko kugera ku nkokora.,,URGENT
370,Says the old man has been talking to people who are not there,Carer,Umusaza/Umukecuru,Avuga ko umusaza amaze igihe avuga n'abantu batari aho.,,URGENT
371,Came for the results of the child's sputum test,Carer,Ingimbi/Umwangavu,Yaje kureba ibisubizo by'isuzuma ry'amacandwe y'umwana.,,ROUTINE
372,Says the pain in the knee stops him working in the field,Self,Umuntu mukuru,Avuga ko ububabare bwo mu ivi bumubuza gukora mu murima.,,ROUTINE
373,Woman says she is bleeding and has been pregnant three months,Self,Umuntu mukuru,Umugore avuga ko ari kuva amaraso kandi atwite amezi atatu.,,URGENT
374,Says the child has been holding his stool for days out of fear,Carer,Umwana,Avuga ko umwana amaze iminsi afata umwanda kubera ubwoba.,,ROUTINE
375,Man says a snake bit him yesterday and the leg is now black,Self,Umuntu mukuru,Umugabo avuga ko inzoka yamurumye ejo kandi ubu ukuguru kwarirabura.,,CRITICAL
376,Says she was told to come back if the fever returned,Self,Umwana,Avuga ko yabwiwe kugaruka niba umuriro wongera kugaruka.,,CANNOT CLASSIFY
377,Has a swelling on the jaw that started as a tooth pain,Self,Umuntu mukuru,Afite kubyimba ku rwasaya byatangiriye ku kubabara amenyo.,,URGENT
378,Says he has been unable to work since the injury and has no money,Self,Umuntu mukuru,Avuga ko kuva yakomereka atagishobora gukora kandi akaba nta mafaranga afite.,,ROUTINE
379,Child has been vomiting green and has a swollen belly,Carer,Impinja,Umwana aruka ibintu by'icyatsi kandi inda yarabyimbye.,,CRITICAL
