id,cue,reporter,age_group,text_kw,author,label,annotator,validated_by,register
218,Has a boil under the arm that has grown for a week,Self,Umuntu mukuru,Afite ibisebe binini munsi y'ukuboko bimaze icyumweru byiyongera.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
219,Teacher brings a child who cannot see the blackboard,Carer,Umwana,Umwarimu yazanye umwana utabasha kubona neza ku kibaho.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
220,Says he has been coughing since working in a grain store,Self,Umuntu mukuru,Avuga ko amaze gukorora kuva atangiye gukorera mu bubiko bw'ibinyampeke.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
221,"Woman fell while carrying water, landed on her wrist",Self,Umuntu mukuru,"Umugore yaguye atwaye amazi, agwa ku kuboko kwe hafi y'ikiganza.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
222,Child has had a fever and a stiff neck since this morning,Carer,Umwana,Umwana afite umuriro kandi ijosi rirakomeye kuva muri iki gitondo.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
223,Says the wound was stitched here and the stitches need removing,Self,Umuntu mukuru,Avuga ko igikomere cyadodewe hano kandi ko imidodo igomba gukurwamo.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
224,Feels a tightness in the throat when anxious,Self,Ingimbi/Umwangavu,Yumva umuhogo umufashe iyo afite ubwoba cyangwa ahangayitse.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
225,Mother says her child has lost weight since starting school,Carer,Umwana,Nyina avuga ko umwana yagabanutse ibiro kuva atangiye ishuri.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
226,Man says a stone went into his eye while breaking rocks,Self,Umuntu mukuru,Umugabo avuga ko ibuye ryinjiye mu jisho ubwo yamenaga amabuye.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
227,Came for a repeat of the injection she gets every three months,Self,Umuntu mukuru,Yaje kongera guterwa urushinge ahabwa buri mezi atatu.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
228,Says the pain in the tooth wakes him at night,Self,Umuntu mukuru,Avuga ko ububabare bwo mu menyo bumukangura nijoro.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
229,Child was playing and suddenly could not move one arm,Carer,Umwana,Umwana yari ari gukina maze mu buryo butunguranye ananirwa gukoresha ukuboko kumwe.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
230,Woman says she has been feeling the baby move less than usual,Self,Umuntu mukuru,Umugore avuga ko yumva umwana atakigenda cyane nk'uko bisanzwe.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
231,Has a sore on the lip that has been there for a month,Self,Umuntu mukuru,Afite igisebe ku munwa kimaze ukwezi.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
232,Neighbour brings a man who has been vomiting blood since dawn,Carer,Umuntu mukuru,Umuturanyi yazanye umugabo umaze kuva mu gitondo aruka amaraso.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
233,Says the child refuses to walk on one leg since yesterday,Carer,Umwana,Avuga ko kuva ejo umwana yanga gukandagiza ukuguru kumwe.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
234,Came because his employer says he must be tested before the season,Self,Umuntu mukuru,Yaje kuko umukoresha we yamubwiye ko agomba kwisuzumisha mbere y'uko igihe cy'akazi gitangira.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
235,"Feels a burning in the chest after eating, worse lying down",Self,Umuntu mukuru,"Yumva mu gituza hashya nyuma yo kurya, cyane cyane iyo aryamye.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
236,Says she is pregnant and has been vomiting everything for a week,Self,Ingimbi/Umwangavu,Avuga ko atwite kandi amaze icyumweru aruka ibyo arya cyangwa anywa byose.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
237,Man cut his thumb with a panga and wrapped it in a cloth,Self,Umuntu mukuru,Umugabo yikase igikumwe akoresheje umuhoro maze agipfuka umwenda.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
238,Child has a swelling behind the ear that is painful,Carer,Umwana,Umwana afite kubyimba inyuma y'ugutwi kubabaza.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
239,Says his feet have been numb for months and he did not notice a wound,Self,Umusaza/Umukecuru,Avuga ko ibirenge bye bimaze amezi bitumva neza kandi atigeze amenya ko afite igikomere.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
240,Woman came because her friend told her the lump should be checked,Self,Umuntu mukuru,Umugore yaje kuko inshuti ye yamubwiye ko ako kabyimba kagomba gusuzumwa.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
241,Says he coughs after drinking water,Self,Umusaza/Umukecuru,Avuga ko akorora iyo anyweye amazi.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
242,Baby was delivered by a traditional birth attendant and has a fever,Carer,Impinja,Uruhinja rwabyarijwe n'umubyaza gakondo kandi rufite umuriro.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
243,Has a rash that started after a new soap,Self,Umwana,Afite ibisebe ku ruhu byatangiye nyuma yo gukoresha isabune nshya.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
244,Says the pain started in the belly and has moved to the lower right,Self,Ingimbi/Umwangavu,Avuga ko ububabare bwatangiriye mu nda bukaza kwimukira hepfo iburyo.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
245,Man brought after falling from scaffolding at a building site,Carer,Umuntu mukuru,Umugabo yazanywe nyuma yo kugwa ku byuma by'ubwubatsi ku kazi.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
246,Says she cannot hold her urine since giving birth,Self,Umuntu mukuru,Avuga ko kuva yabyara atagishobora kwifata inkari.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
247,Child has been pulling at the ear and has a fever,Carer,Impinja,Umwana ahora akurura ugutwi kandi afite umuriro.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
248,Came because the pharmacy refused to sell her the tablets without a paper,Self,Umuntu mukuru,Yaje kuko farumasi yanze kumuha imiti atazanye urupapuro rwa muganga.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
249,Says the swelling in his scrotum has been growing for a year,Self,Umusaza/Umukecuru,Avuga ko kubyimba mu dusabo tw'intanga bimaze umwaka byiyongera.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
250,Woman says the bleeding after delivery has not stopped,Self,Umuntu mukuru,Umugore avuga ko kuva yabyara amaraso atarahagarara.,,CRITICAL,"single, non-clinician, the paper's author",NONE,record_voice
251,Child bitten on the hand by a cat,Carer,Umwana,Umwana yarumwe ukuboko n'injangwe.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
252,Says he has been seeing flashes of light in one eye,Self,Umusaza/Umukecuru,Avuga ko amaze igihe abona nk'urumuri rutunguranye mu jisho rimwe.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
253,Man says he cannot stop shaking since he stopped drinking,Self,Umuntu mukuru,Umugabo avuga ko amaze guhagarika inzoga umubiri udahagarika gutitira.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
254,Came for the child's deworming tablets,Carer,Umwana,Yaje gufata imiti yo kuvura inzoka z'umwana.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
255,Says the chest pain came while carrying a sack and has not gone,Self,Umuntu mukuru,Avuga ko ububabare bwo mu gituza bwatangiye atwaye umufuka kandi bukaba butarahagarara.,,CRITICAL,"single, non-clinician, the paper's author",NONE,record_voice
256,Mother says her baby arches the back and cries after every feed,Carer,Impinja,Nyina avuga ko uruhinja rwe rugonda umugongo kandi rugataka nyuma yo konka cyangwa kurya.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
257,Has been told she is anaemic and asks what to eat,Self,Umuntu mukuru,Yabwiwe ko afite amaraso make kandi abaza ibyo yakwiriye kurya.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
258,Says he was struck by lightning near the field and feels strange,Self,Umuntu mukuru,Avuga ko inkuba yamukubise hafi y'umurima kandi akaba yumva atameze neza.,,CRITICAL,"single, non-clinician, the paper's author",NONE,record_voice
259,Child has white spots on the skin that do not itch,Carer,Umwana,Umwana afite utubara twera ku ruhu kandi tutamuryaryata.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
260,Woman says her period is late and she has pain on one side,Self,Umuntu mukuru,Umugore avuga ko imihango yatinze kandi afite ububabare ku ruhande rumwe rw'inda.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
261,Says he has been having headaches since starting a new job,Self,Umuntu mukuru,Avuga ko amaze kugira umutwe kuva atangiye akazi gashya.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
262,Brought by a motorbike taxi driver after an accident on the road,Carer,Umuntu mukuru,Yazanywe n'umutwara moto nyuma y'impanuka yo mu muhanda.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
263,Says the child has been eating soil,Carer,Umwana,Avuga ko umwana amaze igihe arya ubutaka.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
264,Has a discharge from the nipple and is not breastfeeding,Self,Umuntu mukuru,Afite amazi asohoka mu ibere kandi ntabwo yonsa.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
265,Says his vision went dark in one eye for a few minutes and came back,Self,Umusaza/Umukecuru,"Avuga ko ijisho rimwe ryijimye ntabona mu gihe cy'iminota mike, nyuma akongera kubona.",,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
266,Came to ask whether the family should all be tested after a TB case,Self,Umuntu mukuru,Yaje kubaza niba umuryango wose ugomba kwisuzumisha nyuma y'uko umwe muri bo arwaye igituntu.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
267,"Child fell into a cooking fire, burns on the hand and forearm",Carer,Umwana,"Umwana yaguye mu muriro wo gutekamo, atwika ukuboko n'igice cy'ukuboko kugera ku nkokora.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
268,Says she has been dizzy and her periods are heavy,Self,Ingimbi/Umwangavu,Avuga ko amaze igihe azungera kandi imihango ikaba ari myinshi.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
269,Man says he has not passed urine since yesterday morning,Self,Umusaza/Umukecuru,Umugabo avuga ko kuva ejo mu gitondo atigeze yihagarika.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
270,Says the cough has been there since birth and nobody explained why,Carer,Umwana,Avuga ko inkorora imufite kuva yavuka kandi nta muntu wigeze amusobanurira impamvu.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
271,Woman brought by neighbours after collapsing in the market,Carer,Umuntu mukuru,Umugore yazanywe n'abaturanyi nyuma yo kugwa igihumure ku isoko.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
272,Says the tablets make him sleepy and he stopped taking them,Self,Umuntu mukuru,Avuga ko imiti imutera gusinzira maze arayihagarika.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
273,Child has a swollen knee with no injury,Carer,Umwana,Umwana afite ivi ryabyimbye kandi nta gikomere yagize.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
274,Says she wants to know her status before getting married,Self,Ingimbi/Umwangavu,Avuga ko ashaka kumenya uko ubuzima bwe buhagaze mbere yo gushaka.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
275,Has pain in the shoulder that started after painting a ceiling,Self,Umuntu mukuru,Afite ububabare ku rutugu bwatangiye nyuma yo gusiga irangi ku gisenge.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
276,Baby has not cried much since birth and feeds slowly,Carer,Impinja,Uruhinja ntirwigeze rutaka cyane kuva ruvuka kandi rwonsa cyangwa rurya buhoro.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
277,Says the itching is worst between the fingers,Self,Umwana,Avuga ko kuryaryatwa bikabije hagati y'intoki.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
278,Man says he fell off a ladder and landed on his heels,Self,Umuntu mukuru,Umugabo avuga ko yaguye ku ngazi agwa ku bitendegeri.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
279,Came because the community health worker measured the child's arm,Carer,Umwana,Yaje kuko umukozi w'ubuzima wo mu muryango yapimye ukuboko k'umwana.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
280,Says he has blood in the urine and no pain,Self,Umusaza/Umukecuru,Avuga ko afite amaraso mu nkari ariko nta bubabare afite.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
281,Woman says she has a headache that started suddenly like a blow,Self,Umuntu mukuru,Umugore avuga ko umutwe watangiye kumurya gitunguranye nk'uwakubiswe.,,CRITICAL,"single, non-clinician, the paper's author",NONE,record_voice
282,Child swallowed a battery from a torch,Carer,Umwana,Umwana yamize bateri yo mu itoroshi.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
283,Says his ankles swell by evening and go down by morning,Self,Umusaza/Umukecuru,Avuga ko ibirenge hafi y'amaguru byabyimba nimugoroba bikagabanuka mu gitondo.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
284,Came to ask about a family planning method that will not stop periods,Self,Umuntu mukuru,Yaje kubaza uburyo bwo kuboneza urubyaro budahagarika imihango.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
285,Says the child has been coughing until he vomits,Carer,Umwana,Avuga ko umwana akorora cyane kugeza ubwo aruka.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
286,Has a wound on the sole that he only noticed when it smelled,Self,Umusaza/Umukecuru,Afite igikomere ku kirenge yakomeje kutamenya kugeza ubwo gitangiye kunuka.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
287,Woman says she cannot feel one side of her body since waking,Self,Umusaza/Umukecuru,Umugore avuga ko kuva abyutse atakumva uruhande rumwe rw'umubiri we.,,CRITICAL,"single, non-clinician, the paper's author",NONE,record_voice
288,Says she stopped the family planning injection and has not bled since,Self,Umuntu mukuru,Avuga ko yahagaritse urushinge rwo kuboneza urubyaro kandi kuva icyo gihe akaba atarongera kuva amaraso.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
289,Man brought after drinking a bottle of local brew and passing out,Carer,Ingimbi/Umwangavu,Umugabo yazanywe nyuma yo kunywa icupa ry'inzoga y'iwacu akagwa igihumure.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
290,Child has a fever and a rash that started on the face,Carer,Umwana,Umwana afite umuriro n'utubyimba ku ruhu byatangiriye mu maso.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
291,Says he has been told he has high pressure but feels nothing,Self,Umuntu mukuru,Avuga ko yabwiwe ko afite umuvuduko w'amaraso ukabije ariko akaba nta kintu yumva.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
292,Came for a referral letter to the district hospital,Self,Umuntu mukuru,Yaje gufata urupapuro rwo koherezwa ku bitaro by'akarere.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
293,Says the pain is in the calf and the leg is hot,Self,Umuntu mukuru,Avuga ko ababara mu mutsi w'inyana kandi ukuguru gushyuha.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
294,Baby's eye has been sticky and yellow since two days old,Carer,Impinja,Uruhinja rufite ijisho rifatirana kandi risa n'umuhondo kuva rufite iminsi ibiri.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
295,Says he works at night and cannot sleep in the day,Self,Umuntu mukuru,Avuga ko akora nijoro kandi akaba adashobora gusinzira ku manywa.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
296,Child has a cough and the ribs pull in when breathing,Carer,Impinja,Umwana arakorora kandi imbavu zigasa n'izijya imbere iyo ahumeka.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
297,Woman says her husband refuses to let her use family planning,Self,Umuntu mukuru,Umugore avuga ko umugabo we amubuza gukoresha uburyo bwo kuboneza urubyaro.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
298,Says the burn from last week is now weeping and smells,Self,Umwana,Avuga ko igisebe cy'ubushye yagize mu cyumweru gishize ubu gisohora amazi kandi kinuka.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
299,Man says his back gave way while lifting and he cannot stand straight,Self,Umuntu mukuru,Umugabo avuga ko umugongo wamunaniye ubwo yazamuraga ikintu kandi ubu akaba adashobora guhagarara yemye.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
300,Came only to collect a health insurance card,Self,Umuntu mukuru,Yaje gusa gufata ikarita y'ubwishingizi bw'ubuzima.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
301,Says the child has been passing worms,Carer,Umwana,Avuga ko umwana amaze igihe asohora inzoka mu musarani.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
302,Has a swelling in the groin that comes when he coughs,Self,Umuntu mukuru,Afite kubyimba mu ihina kuza iyo akoroye.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
303,Woman says she has been bleeding heavily since a procedure elsewhere,Self,Umuntu mukuru,Umugore avuga ko amaze kuva amaraso menshi kuva yakorerwa igikorwa cyo kwa muganga ahandi.,,CRITICAL,"single, non-clinician, the paper's author",NONE,record_voice
304,Says the pain in the ear started after a slap,Self,Umwana,Avuga ko ububabare mu gutwi bwatangiye nyuma yo gukubitwa urushyi.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
305,Man says he has been losing weight but eating normally,Self,Umuntu mukuru,Umugabo avuga ko amaze kugabanuka ibiro ariko arya nk'uko bisanzwe.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
306,Child has a bruise on the back that the mother cannot explain,Carer,Umwana,Umwana afite igikomere cy'ubururu ku mugongo kandi nyina ntazi uko cyabaye.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
307,Says the tablets ran out because the clinic had none last month,Self,Umuntu mukuru,Avuga ko imiti yamushizeho kuko ivuriro ritari rifite imiti ukwezi gushize.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
308,Has been vomiting since starting the malaria tablets,Self,Umwana,Amaze kuruka kuva atangiye imiti ya malariya.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
309,Woman says she is nine months pregnant and has not felt movement today,Self,Umuntu mukuru,Umugore avuga ko atwite amezi icyenda kandi uyu munsi akaba atarumva umwana agenda.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
310,Says he cut himself on a rusty sheet of iron,Self,Umuntu mukuru,Avuga ko yikase ku isahani y'icyuma cyafashwe n'ingese.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
311,Child has been crying and refusing to sit down,Carer,Umwana,Umwana amaze kurira kandi yanga kwicara.,,CANNOT CLASSIFY,"single, non-clinician, the paper's author",NONE,patient_voice
312,Says she was given an injection by a neighbour and the site is hard,Self,Umuntu mukuru,Avuga ko yatewe urushinge n'umuturanyi kandi aho yarutereye hakaba hakomeye.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
313,Man says his hand was caught in a maize mill,Self,Umuntu mukuru,Umugabo avuga ko ukuboko kwe kwafashwe n'imashini isya ibigori.,,CRITICAL,"single, non-clinician, the paper's author",NONE,record_voice
314,Came to ask whether the child's fever after vaccination is normal,Carer,Impinja,Yaje kubaza niba umuriro w'umwana nyuma yo gukingirwa ari ibisanzwe.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
315,Says the sore throat has lasted three weeks and the voice changed,Self,Umuntu mukuru,Avuga ko umuhogo umaze ibyumweru bitatu ubabara kandi ijwi rikaba ryarahindutse.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
316,Has a lump in the armpit that is not painful,Self,Umuntu mukuru,Afite ikibyimba mu kwaha kitamubabaza.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
317,Says the child fell from a bed and vomited twice afterwards,Carer,Impinja,Avuga ko umwana yaguye ku buriri maze nyuma akaruka inshuro ebyiri.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
318,Woman says she has pain when passing urine and is pregnant,Self,Umuntu mukuru,Umugore avuga ko ababara iyo yihagarika kandi atwite.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
319,Says he has been stung all over by wasps in the roof,Self,Umuntu mukuru,Avuga ko yatewe n'inzuki z'intubamubiri ahantu henshi ubwo zari mu gisenge.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
320,Old man says he cannot hear on one side since a loud bang,Self,Umusaza/Umukecuru,Umusaza avuga ko atumva ku gutwi kumwe kuva yumvise urusaku rukomeye.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
321,Child has been drinking a lot and passing urine often,Carer,Umwana,Umwana amaze kunywa amazi menshi kandi akihagarika kenshi.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
322,Says the wound on the leg has black edges,Self,Umusaza/Umukecuru,Avuga ko igikomere cyo ku kuguru gifite impande zirabura.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
323,Came because the school requires a medical form,Carer,Ingimbi/Umwangavu,Yaje kuko ishuri risaba urupapuro rwa muganga.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
324,Says the pain moved from the shoulder blade to the jaw,Self,Umusaza/Umukecuru,Avuga ko ububabare bwavuye ku rutugu bugera ku rwasaya.,,CRITICAL,"single, non-clinician, the paper's author",NONE,record_voice
325,Woman says the baby was born with a foot turned inward,Carer,Impinja,Umugore avuga ko uruhinja rwavutse ikirenge kimwe kireba imbere.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
326,Says he has been having nightmares since the accident,Self,Ingimbi/Umwangavu,Avuga ko amaze kugira inzozi mbi kuva yagira impanuka.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
327,Has an eye that waters constantly and the lid is turned in,Self,Umusaza/Umukecuru,Afite ijisho rihora ririmo amarira kandi umupfundikizo waryo uhindukiye imbere.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
328,Child has a barking cough at night and is fine by morning,Carer,Umwana,Umwana arakorora nijoro nk'imbwa ariko mu gitondo akaba ameze neza.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
329,Says the swelling started in the face and moved to the legs,Self,Umwana,Avuga ko kubyimba byatangiriye mu maso bikaza kugera ku maguru.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
330,Man says a dog he does not know bit him and ran off,Self,Umuntu mukuru,Umugabo avuga ko yarumwe n'imbwa atazi maze igahunga.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
331,Says she has not been able to eat since the operation,Self,Umuntu mukuru,Avuga ko kuva yakorerwa iyo operation atabasha kurya.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
332,Came to ask if the child's birthmark is dangerous,Carer,Impinja,Yaje kubaza niba ikimenyetso umwana yavukanye ku ruhu ari akaga.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
333,Says the chest pain is worse when pressing on it,Self,Ingimbi/Umwangavu,Avuga ko ububabare bwo mu gituza bwiyongera iyo agukandagiyeho.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
334,Woman says she delivered at home and the placenta has not come,Carer,Umuntu mukuru,Umugore avuga ko yabyariye mu rugo kandi urusoro rutarasohoka.,,CRITICAL,"single, non-clinician, the paper's author",NONE,record_voice
335,Says his gums bleed when brushing,Self,Umuntu mukuru,Avuga ko ishinya ivamo amaraso iyo yoza amenyo.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
336,Child has been rubbing the eyes and they are red and sticky,Carer,Umwana,Umwana amaze kwikuba mu maso kandi amaso ye aratukura kandi agafatirana.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
