task,domain,proposed_urgency,concept_id,english_gloss,who_imci_reference,current_swahili_phrase,is_this_natural_yes_no,your_phrasing,second_phrasing_optional,notes
AUTHOR new,chronic_care,CRITICAL,CC01,"diabetic with vomiting, deep breathing and drowsiness",not IMCI (adult DKA),,,,,
AUTHOR new,chronic_care,CRITICAL,CC02,hypoglycaemia with sweating and confusion,not IMCI (adult),,,,,
AUTHOR new,chronic_care,URGENT,CC03,very high blood pressure with headache,not IMCI (adult),,,,,
AUTHOR new,chronic_care,URGENT,CC04,swollen legs and breathless lying flat,not IMCI (adult heart failure),,,,,
AUTHOR new,chronic_care,URGENT,CC05,diabetic foot ulcer not healing,not IMCI (adult),,,,,
AUTHOR new,chronic_care,URGENT,CC06,ran out of antiretroviral medicine,not IMCI (adult ART adherence),,,,,
AUTHOR new,chronic_care,URGENT,CC07,ran out of TB medicine,not IMCI (adult TB adherence),,,,,
VALIDATE existing,chronic_care,URGENT,,(existing phrase - no concept recorded),,sukari nyingi sana katika damu,,,,
VALIDATE existing,chronic_care,URGENT,,(existing phrase - no concept recorded),,shinikizo la damu liko juu sana,,,,
AUTHOR new,chronic_care,ROUTINE,CC08,blood pressure medicine refill,not IMCI (routine),,,,,
AUTHOR new,chronic_care,ROUTINE,CC09,routine diabetes review,not IMCI (routine),,,,,
AUTHOR new,chronic_care,ROUTINE,CC10,routine HIV clinic follow-up,not IMCI (routine),,,,,
VALIDATE existing,chronic_care,ROUTINE,,(existing phrase - no concept recorded),,ombi la kuongezewa dawa zangu,,,,
VALIDATE existing,chronic_care,ROUTINE,,(existing phrase - no concept recorded),,ufuatiliaji baada ya matibabu ya awali,,,,
AUTHOR new,gastrointestinal,CRITICAL,GI01,"vomiting everything, cannot keep fluids down",IMCI general danger sign: vomits everything,,,,,
AUTHOR new,gastrointestinal,CRITICAL,GI02,vomiting blood,not IMCI (adult presentation),,,,,
AUTHOR new,gastrointestinal,CRITICAL,GI03,black tarry stool,not IMCI (adult presentation),,,,,
AUTHOR new,gastrointestinal,CRITICAL,GI04,watery diarrhoea with sunken eyes and very slow skin pinch,IMCI: SEVERE DEHYDRATION,,,,,
AUTHOR new,gastrointestinal,URGENT,GI05,blood in the stool,IMCI: blood in stool -> DYSENTERY,,,,,
AUTHOR new,gastrointestinal,URGENT,GI06,diarrhoea lasting more than fourteen days,IMCI: PERSISTENT DIARRHOEA,,,,,
AUTHOR new,gastrointestinal,URGENT,GI07,severe abdominal pain that will not settle,not IMCI (adult presentation),,,,,
VALIDATE existing,gastrointestinal,URGENT,,(existing phrase - no concept recorded),,kuhara sana kwa siku tatu,,,,
VALIDATE existing,gastrointestinal,URGENT,,(existing phrase - no concept recorded),,kutapika mara kwa mara na siwezi kula,,,,
VALIDATE existing,gastrointestinal,URGENT,,(existing phrase - no concept recorded),,maumivu makali ya tumbo,,,,
VALIDATE existing,gastrointestinal,URGENT,,(existing phrase - no concept recorded),,kutapika na dalili za upungufu wa maji,,,,
AUTHOR new,gastrointestinal,ROUTINE,GI08,mild indigestion after eating,not IMCI (minor complaint),,,,,
VALIDATE existing,gastrointestinal,ROUTINE,,(existing phrase - no concept recorded),,usumbufu kidogo wa tumbo baada ya kula,,,,
VALIDATE existing,gastrointestinal,ROUTINE,,(existing phrase - no concept recorded),,maumivu kidogo ya tumbo yasiyo makali,,,,
AUTHOR new,haemorrhage_trauma,CRITICAL,HT01,bleeding not controlled by pressure,not IMCI (trauma),,,,,
AUTHOR new,haemorrhage_trauma,CRITICAL,HT02,deep wound with bone visible,not IMCI (trauma),,,,,
AUTHOR new,haemorrhage_trauma,CRITICAL,HT03,head injury with vomiting and confusion,not IMCI (trauma),,,,,
AUTHOR new,haemorrhage_trauma,CRITICAL,HT04,large burn,not IMCI (trauma),,,,,
VALIDATE existing,haemorrhage_trauma,CRITICAL,,(existing phrase - no concept recorded),,kutokwa damu nyingi kusikoisha,,,,
VALIDATE existing,haemorrhage_trauma,CRITICAL,,(existing phrase - no concept recorded),,jeraha kubwa linalotoa damu nyingi,,,,
VALIDATE existing,haemorrhage_trauma,CRITICAL,,(existing phrase - no concept recorded),,damu puani isiyoisha,,,,
VALIDATE existing,haemorrhage_trauma,CRITICAL,,(existing phrase - no concept recorded),,jeraha la kichwa baada ya kuanguka,,,,
AUTHOR new,haemorrhage_trauma,URGENT,HT05,limb deformed after a fall,not IMCI (trauma),,,,,
AUTHOR new,haemorrhage_trauma,URGENT,HT06,"wound red, swollen and discharging pus",not IMCI (adult wound infection),,,,,
AUTHOR new,haemorrhage_trauma,URGENT,HT07,snake bite,not IMCI (envenomation),,,,,
VALIDATE existing,haemorrhage_trauma,URGENT,,(existing phrase - no concept recorded),,"jeraha lililoambukizwa, jekundu na usaha",,,,
VALIDATE existing,haemorrhage_trauma,URGENT,,(existing phrase - no concept recorded),,maumivu makali baada ya kuanguka,,,,
AUTHOR new,haemorrhage_trauma,ROUTINE,HT08,"small cut, bleeding stopped",not IMCI (minor injury),,,,,
AUTHOR new,infectious_fever,CRITICAL,IF01,fever with stiff neck,IMCI: stiff neck -> VERY SEVERE FEBRILE DISEASE,,,,,
AUTHOR new,infectious_fever,CRITICAL,IF02,fever with convulsions,IMCI general danger sign: convulsions,,,,,
AUTHOR new,infectious_fever,CRITICAL,IF03,fever and unable to drink,IMCI general danger sign: not able to drink or breastfeed,,,,,
AUTHOR new,infectious_fever,URGENT,IF04,fever with chills and sweats for days,"IMCI: fever, malaria risk",,,,,
AUTHOR new,infectious_fever,URGENT,IF05,fever with generalised rash,IMCI: generalised rash -> MEASLES,,,,,
AUTHOR new,infectious_fever,URGENT,IF06,fever with pain passing urine,not IMCI (adult presentation),,,,,
VALIDATE existing,infectious_fever,URGENT,,(existing phrase - no concept recorded),,homa kali ya digrii 39,,,,
VALIDATE existing,infectious_fever,URGENT,,(existing phrase - no concept recorded),,homa na kikohozi kikali,,,,
VALIDATE existing,infectious_fever,URGENT,,(existing phrase - no concept recorded),,"dalili za malaria, homa na baridi",,,,
VALIDATE existing,infectious_fever,URGENT,,(existing phrase - no concept recorded),,homa na maumivu ya mwili mzima,,,,
VALIDATE existing,infectious_fever,URGENT,,(existing phrase - no concept recorded),,homa na maumivu makali ya kichwa,,,,
AUTHOR new,infectious_fever,ROUTINE,IF07,"low fever one day, otherwise well","IMCI: fever, no danger sign (green)",,,,,
VALIDATE existing,infectious_fever,ROUTINE,,(existing phrase - no concept recorded),,kikohozi kidogo bila homa,,,,
VALIDATE existing,infectious_fever,ROUTINE,,(existing phrase - no concept recorded),,mafua kidogo puani,,,,
AUTHOR new,neurological,CRITICAL,NE01,continuous convulsion,IMCI general danger sign: convulsing now,,,,,
AUTHOR new,neurological,CRITICAL,NE02,"unconscious, cannot be roused",IMCI general danger sign: lethargic or unconscious,,,,,
AUTHOR new,neurological,CRITICAL,NE03,sudden one-sided weakness,not IMCI (adult stroke),,,,,
AUTHOR new,neurological,CRITICAL,NE04,sudden difficulty speaking,not IMCI (adult stroke),,,,,
VALIDATE existing,neurological,CRITICAL,,(existing phrase - no concept recorded),,amepoteza fahamu na hajibu,,,,
VALIDATE existing,neurological,CRITICAL,,(existing phrase - no concept recorded),,kifafa na kutetemeka,,,,
VALIDATE existing,neurological,CRITICAL,,(existing phrase - no concept recorded),,upande mmoja wa mwili haufanyi kazi,,,,
VALIDATE existing,neurological,CRITICAL,,(existing phrase - no concept recorded),,shida ya kuongea na uso umepinda,,,,
AUTHOR new,neurological,URGENT,NE05,severe headache with vomiting and photophobia,not IMCI (adult presentation),,,,,
AUTHOR new,neurological,URGENT,NE06,new confusion today,not IMCI (adult presentation),,,,,
AUTHOR new,neurological,URGENT,NE07,repeated fainting,not IMCI (adult presentation),,,,,
AUTHOR new,neurological,ROUTINE,NE08,intermittent mild headache,not IMCI (minor complaint),,,,,
VALIDATE existing,neurological,ROUTINE,,(existing phrase - no concept recorded),,maumivu kidogo ya kichwa yasiyo makali,,,,
VALIDATE existing,neurological,ROUTINE,,(existing phrase - no concept recorded),,uchovu kidogo wakati wa mchana,,,,
AUTHOR new,obstetric,CRITICAL,OB01,convulsion in pregnancy (eclampsia),IMCI general danger sign: convulsions,,,,,
AUTHOR new,obstetric,CRITICAL,OB02,severe headache with blurred vision in pregnancy (pre-eclampsia),not IMCI (maternal),,,,,
AUTHOR new,obstetric,CRITICAL,OB03,cord or hand presenting before the baby,not IMCI (maternal),,,,,
AUTHOR new,obstetric,CRITICAL,OB04,labour over 24 hours without delivery (obstructed labour),not IMCI (maternal),,,,,
AUTHOR new,obstetric,CRITICAL,OB05,fever with foul discharge after delivery (puerperal sepsis),not IMCI (maternal),,,,,
VALIDATE existing,obstetric,CRITICAL,,(existing phrase - no concept recorded),,maumivu makali ya tumbo wakati wa ujauzito na damu,,,,
VALIDATE existing,obstetric,CRITICAL,,(existing phrase - no concept recorded),,kutokwa damu nyingi baada ya kujifungua,,,,
AUTHOR new,obstetric,URGENT,OB06,reduced or absent fetal movement,not IMCI (maternal),,,,,
AUTHOR new,obstetric,URGENT,OB07,membranes ruptured preterm,not IMCI (maternal),,,,,
AUTHOR new,obstetric,URGENT,OB08,labour pains before term,not IMCI (maternal),,,,,
AUTHOR new,obstetric,URGENT,OB09,fever in pregnancy,not IMCI (maternal),,,,,
AUTHOR new,obstetric,URGENT,OB10,persistent vomiting in pregnancy,not IMCI (maternal),,,,,
AUTHOR new,obstetric,ROUTINE,OB11,routine antenatal check,not IMCI (routine),,,,,
AUTHOR new,obstetric,ROUTINE,OB12,breastfeeding advice after delivery,IMCI: assess breastfeeding / counselling,,,,,
AUTHOR new,paediatric,CRITICAL,PA01,child convulsing,IMCI general danger sign: convulsions,,,,,
AUTHOR new,paediatric,CRITICAL,PA02,child too weak to breastfeed,IMCI general danger sign: not able to drink or breastfeed,,,,,
AUTHOR new,paediatric,CRITICAL,PA03,child unconscious or floppy,IMCI general danger sign: lethargic or unconscious,,,,,
AUTHOR new,paediatric,CRITICAL,PA04,child breathing fast with chest indrawing,IMCI: chest indrawing -> SEVERE PNEUMONIA,,,,,
VALIDATE existing,paediatric,CRITICAL,,(existing phrase - no concept recorded),,kifafa na homa zaidi ya digrii 40,,,,
VALIDATE existing,paediatric,CRITICAL,,(existing phrase - no concept recorded),,mtoto anayeshindwa kupumua na kuwa bluu,,,,
AUTHOR new,paediatric,URGENT,PA05,child with diarrhoea and sunken eyes,IMCI: SOME/SEVERE DEHYDRATION,,,,,
AUTHOR new,paediatric,URGENT,PA06,child with fever and rash,IMCI: MEASLES,,,,,
AUTHOR new,paediatric,URGENT,PA07,"child very thin, not gaining weight",IMCI: ACUTE MALNUTRITION (MUAC/oedema),,,,,
AUTHOR new,paediatric,URGENT,PA08,child with ear pain and discharge,IMCI: ACUTE EAR INFECTION,,,,,
VALIDATE existing,paediatric,URGENT,,(existing phrase - no concept recorded),,homa na vipele vinavyoenea mwilini,,,,
VALIDATE existing,paediatric,URGENT,,(existing phrase - no concept recorded),,homa kali na anakataa kula,,,,
AUTHOR new,paediatric,ROUTINE,PA09,child growth monitoring visit,IMCI: care of the well child,,,,,
AUTHOR new,paediatric,ROUTINE,PA10,child due for vaccination,IMCI: immunisation schedule,,,,,
AUTHOR new,preventive,URGENT,PR01,household contact of a TB patient,not IMCI (contact tracing),,,,,
AUTHOR new,preventive,ROUTINE,PR02,family planning advice,not IMCI (routine),,,,,
AUTHOR new,preventive,ROUTINE,PR03,HIV test request,not IMCI (routine),,,,,
AUTHOR new,preventive,ROUTINE,PR04,collecting a mosquito net,not IMCI (routine),,,,,
AUTHOR new,preventive,ROUTINE,PR05,first antenatal booking visit,"not IMCI (routine, maternal)",,,,,
AUTHOR new,preventive,ROUTINE,PR06,blood pressure screening,not IMCI (routine),,,,,
AUTHOR new,preventive,ROUTINE,PR07,cervical screening appointment,not IMCI (routine),,,,,
AUTHOR new,preventive,ROUTINE,PR08,infant feeding advice,IMCI: assess feeding / counselling,,,,,
AUTHOR new,preventive,ROUTINE,PR09,deworming for a child,IMCI: routine deworming,,,,,
AUTHOR new,preventive,ROUTINE,PR10,advice on safe drinking water,not IMCI (health promotion),,,,,
VALIDATE existing,preventive,ROUTINE,,(existing phrase - no concept recorded),,miadi ya uchunguzi wa mwaka,,,,
VALIDATE existing,preventive,ROUTINE,,(existing phrase - no concept recorded),,ombi la kupima damu,,,,
VALIDATE existing,preventive,ROUTINE,,(existing phrase - no concept recorded),,miadi ya chanjo ya mtoto,,,,
VALIDATE existing,preventive,ROUTINE,,(existing phrase - no concept recorded),,swali kuhusu lishe bora,,,,
