concept_id,domain,proposed_urgency,english_gloss,person,person_note,form,your_phrasing,second_phrasing_optional,notes
OB08,obstetric,URGENT,labour pains before term,third,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
OB09,obstetric,URGENT,fever in pregnancy,first,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
OB09,obstetric,URGENT,fever in pregnancy,third,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
OB11,obstetric,ROUTINE,routine antenatal check,first,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
OB11,obstetric,ROUTINE,routine antenatal check,third,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
OB12,obstetric,ROUTINE,breastfeeding advice after delivery,first,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
OB12,obstetric,ROUTINE,breastfeeding advice after delivery,third,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
EX40,paediatric,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,first,usually third (the parent speaks); write first only if an older child would say it,,umwana ari guhinda umushyitsi kandi afite umuriro uri hejuru ya dogere 40,,first pass
EX40,paediatric,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,third,usually third (the parent speaks); write first only if an older child would say it,,,,
EX41,paediatric,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,first,usually third (the parent speaks); write first only if an older child would say it,,"umwana afite ikibazo cyo kutabasha guhumeka neza, kandi uruhu rwe rwahindutse ubururu",,first pass
EX41,paediatric,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,third,usually third (the parent speaks); write first only if an older child would say it,,,,
PA02,paediatric,CRITICAL,child too weak to breastfeed,first,usually third (the parent speaks); write first only if an older child would say it,utterance,,,
PA02,paediatric,CRITICAL,child too weak to breastfeed,third,usually third (the parent speaks); write first only if an older child would say it,utterance,,,
PA03,paediatric,CRITICAL,child unconscious or floppy,first,usually third (the parent speaks); write first only if an older child would say it,utterance,,,
PA03,paediatric,CRITICAL,child unconscious or floppy,third,usually third (the parent speaks); write first only if an older child would say it,utterance,,,
EX42,paediatric,URGENT,existing concept — your first-pass phrasing is on one of these two rows,first,usually third (the parent speaks); write first only if an older child would say it,,umwana afite umuriro n'uduheri ku mubiri,,first pass
EX42,paediatric,URGENT,existing concept — your first-pass phrasing is on one of these two rows,third,usually third (the parent speaks); write first only if an older child would say it,,,,
EX43,paediatric,URGENT,existing concept — your first-pass phrasing is on one of these two rows,first,usually third (the parent speaks); write first only if an older child would say it,,umwana afite umuriro mwinshi kandi ntabwo arimo kubasha kurya,,first pass
EX43,paediatric,URGENT,existing concept — your first-pass phrasing is on one of these two rows,third,usually third (the parent speaks); write first only if an older child would say it,,,,
PA05,paediatric,URGENT,child with diarrhoea and sunken eyes,first,usually third (the parent speaks); write first only if an older child would say it,utterance,,,
PA05,paediatric,URGENT,child with diarrhoea and sunken eyes,third,usually third (the parent speaks); write first only if an older child would say it,utterance,,,
PA06,paediatric,URGENT,child with fever and rash,first,usually third (the parent speaks); write first only if an older child would say it,utterance,,,
PA06,paediatric,URGENT,child with fever and rash,third,usually third (the parent speaks); write first only if an older child would say it,utterance,,,
PA07,paediatric,URGENT,"child very thin, not gaining weight",first,usually third (the parent speaks); write first only if an older child would say it,utterance,,,
PA07,paediatric,URGENT,"child very thin, not gaining weight",third,usually third (the parent speaks); write first only if an older child would say it,utterance,,,
PA08,paediatric,URGENT,child with ear pain and discharge,first,usually third (the parent speaks); write first only if an older child would say it,utterance,,,
PA08,paediatric,URGENT,child with ear pain and discharge,third,usually third (the parent speaks); write first only if an older child would say it,utterance,,,
EX44,preventive,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,first,,,gahunda yo kwisuzumisha buri mwaka,,first pass
EX44,preventive,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
EX45,preventive,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,first,,,gusaba ko bapima amaraso,,first pass
EX45,preventive,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
EX47,preventive,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,first,,,kugirwa inama ku biryo byo kugaburira umwana,,first pass
EX47,preventive,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
PR03,preventive,ROUTINE,HIV test request,first,,utterance,,,
PR03,preventive,ROUTINE,HIV test request,third,,utterance,,,
PR04,preventive,ROUTINE,collecting a mosquito net,first,,utterance,,,
PR04,preventive,ROUTINE,collecting a mosquito net,third,,utterance,,,
PR05,preventive,ROUTINE,first antenatal booking visit,first,,utterance,,,
PR05,preventive,ROUTINE,first antenatal booking visit,third,,utterance,,,
PR08,preventive,ROUTINE,infant feeding advice,first,,utterance,,,
PR08,preventive,ROUTINE,infant feeding advice,third,,utterance,,,
PR09,preventive,ROUTINE,deworming for a child,first,,utterance,,,
PR09,preventive,ROUTINE,deworming for a child,third,,utterance,,,
