concept_id,domain,proposed_urgency,english_gloss,person,person_note,applies,action,relation_set,relation_set_members,keep_distinct_from,hold,needs_clinician,brief_notes,your_phrasing,second_phrasing_optional,regional_variant,your_notes
CR06,cardiac_respiratory,URGENT,cough over two weeks with weight loss,first,,yes,WRITE,,,,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
CR06,cardiac_respiratory,URGENT,cough over two weeks with weight loss,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
CR07,cardiac_respiratory,ROUTINE,"short mild cough, no fever",first,,yes,WRITE,,,"EX29 (mild fever, nothing else) and EX31 (a slightly runny nose)",,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
CR07,cardiac_respiratory,ROUTINE,"short mild cough, no fever",third,,yes,WRITE,CHILD_RELATIONS,My child / My son / My daughter / My grandchild / My neighbour's child,"EX29 (mild fever, nothing else) and EX31 (a slightly runny nose)",,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX01,cardiac_respiratory,CRITICAL,severe chest pain and cannot breathe,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX01,cardiac_respiratory,CRITICAL,severe chest pain and cannot breathe,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX02,cardiac_respiratory,CRITICAL,serious difficulty breathing,first,,yes,WRITE,,,CR02 (too breathless to finish a sentence) and EX04 (which adds the lips),,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX02,cardiac_respiratory,CRITICAL,serious difficulty breathing,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,CR02 (too breathless to finish a sentence) and EX04 (which adds the lips),,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX03,cardiac_respiratory,CRITICAL,a racing heart that feels like it will stop,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX03,cardiac_respiratory,CRITICAL,a racing heart that feels like it will stop,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX04,cardiac_respiratory,CRITICAL,"difficulty breathing, with the lips changing colour",first,,yes,WRITE,,,EX02 (breathing trouble alone) and CR03 (which IS the blue-lips concept),,,"GLOSS CORRECTED FROM THE v1 CORPUS: v1 English says 'lips turning blue'. The speaker's Kinyarwanda now says the lips changed COLOUR in both persons, and the English arm dropped 'blue' deliberately: CR03 IS the blue-lips concept, and 'blue' was the only word separating the two. | First person: the patient's own words about themselves. No {REL} in this row.",,,,
EX04,cardiac_respiratory,CRITICAL,"difficulty breathing, with the lips changing colour",third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,EX02 (breathing trouble alone) and CR03 (which IS the blue-lips concept),,,"GLOSS CORRECTED FROM THE v1 CORPUS: v1 English says 'lips turning blue'. The speaker's Kinyarwanda now says the lips changed COLOUR in both persons, and the English arm dropped 'blue' deliberately: CR03 IS the blue-lips concept, and 'blue' was the only word separating the two. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX05,cardiac_respiratory,CRITICAL,crushing chest pain spreading to the arm,first,,yes,WRITE,,,"CR01 — EX05 is the ARM only, CR01 carries the jaw.",,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX05,cardiac_respiratory,CRITICAL,crushing chest pain spreading to the arm,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,"CR01 — EX05 is the ARM only, CR01 carries the jaw.",,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX06,cardiac_respiratory,URGENT,a bad cough and trouble breathing,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX06,cardiac_respiratory,URGENT,a bad cough and trouble breathing,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX07,cardiac_respiratory,URGENT,chest pain when breathing deeply,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX07,cardiac_respiratory,URGENT,chest pain when breathing deeply,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
CC01,chronic_care,CRITICAL,"diabetic with vomiting, deep breathing and drowsiness",first,,yes,SKIP — held,,,,yes,yes,Held for a clinician: whether a patient in diabetic ketoacidosis can still report their own drowsiness and deep breathing. | For a clinician: can a patient this ill still report their own drowsiness and deep breathing? This row is held.,,,,
CC01,chronic_care,CRITICAL,"diabetic with vomiting, deep breathing and drowsiness",third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
CC02,chronic_care,CRITICAL,hypoglycaemia with sweating and confusion,first,,yes,SKIP — held,,,,yes,yes,Held for a clinician: whether a patient with hypoglycaemic confusion can report it. | For a clinician: can a patient with low blood sugar report their own confusion? This row is held.,,,,
CC02,chronic_care,CRITICAL,hypoglycaemia with sweating and confusion,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
CC03,chronic_care,URGENT,very high blood pressure with headache,first,,yes,WRITE,,,EX09 (the high reading alone) — CC03 adds the headache,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
CC03,chronic_care,URGENT,very high blood pressure with headache,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,EX09 (the high reading alone) — CC03 adds the headache,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
CC04,chronic_care,URGENT,swollen legs and breathless lying flat,first,,yes,WRITE,,,,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
CC04,chronic_care,URGENT,swollen legs and breathless lying flat,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
CC05,chronic_care,URGENT,diabetic foot ulcer not healing,first,,yes,WRITE,,,,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
CC05,chronic_care,URGENT,diabetic foot ulcer not healing,third,,yes,WRITE,ADULT_RELATIONS,My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
CC06,chronic_care,URGENT,ran out of antiretroviral medicine,first,,yes,WRITE,,,,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
CC06,chronic_care,URGENT,ran out of antiretroviral medicine,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
CC07,chronic_care,URGENT,ran out of TB medicine,first,,yes,WRITE,,,,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
CC07,chronic_care,URGENT,ran out of TB medicine,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
CC08,chronic_care,ROUTINE,blood pressure medicine refill,first,,yes,WRITE,,,EX10 (any repeat prescription) — CC08 names the blood-pressure medicine,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
CC08,chronic_care,ROUTINE,blood pressure medicine refill,third,No third person: nobody comes in on someone else's behalf to collect a repeat prescription or attend their own routine review. First person only — that row is unaffected.,no,SKIP — does not apply,NO_RELATIONS,(none),EX10 (any repeat prescription) — CC08 names the blood-pressure medicine,,,This person does not apply — see person_note.,,,,
CC09,chronic_care,ROUTINE,routine diabetes review,first,,yes,WRITE,,,,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
CC09,chronic_care,ROUTINE,routine diabetes review,third,No third person: nobody comes in on someone else's behalf to collect a repeat prescription or attend their own routine review. First person only — that row is unaffected.,no,SKIP — does not apply,NO_RELATIONS,(none),,,,This person does not apply — see person_note.,,,,
CC10,chronic_care,ROUTINE,routine HIV clinic follow-up,first,,yes,WRITE,,,,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
CC10,chronic_care,ROUTINE,routine HIV clinic follow-up,third,No third person: nobody comes in on someone else's behalf to collect a repeat prescription or attend their own routine review. First person only — that row is unaffected.,no,SKIP — does not apply,NO_RELATIONS,(none),,,,This person does not apply — see person_note.,,,,
EX08,chronic_care,URGENT,very high blood sugar readings,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX08,chronic_care,URGENT,very high blood sugar readings,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX09,chronic_care,URGENT,a very high blood pressure reading,first,,yes,WRITE,,,CC03 (high blood pressure WITH headache) — EX09 is the reading alone,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX09,chronic_care,URGENT,a very high blood pressure reading,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,CC03 (high blood pressure WITH headache) — EX09 is the reading alone,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX10,chronic_care,ROUTINE,a prescription refill request,first,,yes,WRITE,,,CC08 (a blood-pressure medicine refill) — EX10 is any repeat prescription,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX10,chronic_care,ROUTINE,a prescription refill request,third,No third person: nobody comes in on someone else's behalf to collect a repeat prescription or attend their own routine review. First person only — that row is unaffected.,no,SKIP — does not apply,NO_RELATIONS,(none),CC08 (a blood-pressure medicine refill) — EX10 is any repeat prescription,,,This person does not apply — see person_note. | Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate.,,,,
EX11,chronic_care,ROUTINE,a follow up after previous treatment,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX11,chronic_care,ROUTINE,a follow up after previous treatment,third,No third person: nobody comes in on someone else's behalf to collect a repeat prescription or attend their own routine review. First person only — that row is unaffected.,no,SKIP — does not apply,NO_RELATIONS,(none),,,,This person does not apply — see person_note. | Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate.,,,,
EX12,gastrointestinal,URGENT,severe diarrhoea for three days,first,,yes,WRITE,,,GI04 (severe diarrhoea WITH dehydration) — EX12 is three days of it,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX12,gastrointestinal,URGENT,severe diarrhoea for three days,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,GI04 (severe diarrhoea WITH dehydration) — EX12 is three days of it,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX13,gastrointestinal,URGENT,repeated vomiting and cannot eat,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX13,gastrointestinal,URGENT,repeated vomiting and cannot eat,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX14,gastrointestinal,URGENT,severe abdominal pain,first,,yes,WRITE,,,"GI07 (pain that will not settle) and EX38 (pain in pregnancy, with bleeding)",,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX14,gastrointestinal,URGENT,severe abdominal pain,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,"GI07 (pain that will not settle) and EX38 (pain in pregnancy, with bleeding)",,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX15,gastrointestinal,URGENT,vomiting a lot and feeling very weak,first,,yes,WRITE,,,,,,"GLOSS CORRECTED FROM THE v1 CORPUS: v1 English says 'signs of dehydration'. The speaker's rewrite says vomiting and weakness. Dehydration signs belong to GI04, and carrying the v1 wording here would put a second concept on this id. | First person: the patient's own words about themselves. No {REL} in this row.",,,,
EX15,gastrointestinal,URGENT,vomiting a lot and feeling very weak,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"GLOSS CORRECTED FROM THE v1 CORPUS: v1 English says 'signs of dehydration'. The speaker's rewrite says vomiting and weakness. Dehydration signs belong to GI04, and carrying the v1 wording here would put a second concept on this id. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX16,gastrointestinal,ROUTINE,mild stomach discomfort after eating,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX16,gastrointestinal,ROUTINE,mild stomach discomfort after eating,third,,yes,WRITE,CHILD_RELATIONS,My child / My son / My daughter / My grandchild / My neighbour's child,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX17,gastrointestinal,ROUTINE,slight stomach pain that is not severe,first,,no,SKIP — does not apply,,,,,,"This whole concept is out of generation — it was collapsed into EX16, which carries the same sign. Nothing to write on either person's row. | Its wording was not thrown away: it survives as EX16's second phrasing. | Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate.",,,,
EX17,gastrointestinal,ROUTINE,slight stomach pain that is not severe,third,,no,SKIP — does not apply,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"This whole concept is out of generation — it was collapsed into EX16, which carries the same sign. Nothing to write on either person's row. | Its wording was not thrown away: it survives as EX16's second phrasing. | Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate.",,,,
GI01,gastrointestinal,CRITICAL,"vomiting everything, cannot keep fluids down",first,,yes,WRITE,,,,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
GI01,gastrointestinal,CRITICAL,"vomiting everything, cannot keep fluids down",third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
GI02,gastrointestinal,CRITICAL,vomiting blood,first,,yes,WRITE,,,,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
GI02,gastrointestinal,CRITICAL,vomiting blood,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
GI03,gastrointestinal,CRITICAL,black tarry stool,first,,yes,WRITE — and answer the question in brief_notes,,,,,,"QUESTION 2 OF 3 — A WORD FOR STOOL (this row and GI05). The Kinyarwanda arm is blocked on the NOUN: no word for stool appears in the speaker's phrases, in the v1 corpus or in any source material found, and the one candidate is still out with two contacts because it may mean only the latrine. GI05 (blood in the stool) was routed around by using the diarrhoea word instead; THIS row cannot be routed around, because black tarry stool needs the noun. English has the parallel doubt: is 'stool' a patient's word or a health worker's? WHAT WE ARE ASKING: what does a patient actually call it in Kiswahili? Is there more than one word, and does the choice change with politeness, with who is listening, or with region? And for this row specifically: is there a natural way to say the stool is black, without medical vocabulary? | First person: the patient's own words about themselves. No {REL} in this row.",,,,
GI03,gastrointestinal,CRITICAL,black tarry stool,third,,yes,WRITE — and answer the question in brief_notes,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"QUESTION 2 OF 3 — A WORD FOR STOOL (this row and GI05). The Kinyarwanda arm is blocked on the NOUN: no word for stool appears in the speaker's phrases, in the v1 corpus or in any source material found, and the one candidate is still out with two contacts because it may mean only the latrine. GI05 (blood in the stool) was routed around by using the diarrhoea word instead; THIS row cannot be routed around, because black tarry stool needs the noun. English has the parallel doubt: is 'stool' a patient's word or a health worker's? WHAT WE ARE ASKING: what does a patient actually call it in Kiswahili? Is there more than one word, and does the choice change with politeness, with who is listening, or with region? And for this row specifically: is there a natural way to say the stool is black, without medical vocabulary? | The Kinyarwanda row is held; the hold is LIFTED here because the Kinyarwanda hold is the missing stool noun. See QUESTION 2. Write this row. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
GI04,gastrointestinal,CRITICAL,severe diarrhoea with dehydration,first,,no,SKIP — does not apply,,,EX12 (severe diarrhoea for three days) — GI04 adds the dehydration,,,"Ruled out: dehydration here is judged by a skin pinch, which is an examination the health worker performs. A patient cannot report it about themselves. The third person (a carer describing the child) stands.",,,,
GI04,gastrointestinal,CRITICAL,severe diarrhoea with dehydration,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,EX12 (severe diarrhoea for three days) — GI04 adds the dehydration,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
