concept_id,relation,rendered,your_ruling
GI06,Umukecuru,Umukecuru amaze ibyumweru birenga bibiri arwaye impiswi.,
GI07,Umwana wanjye,Umwana wanjye arababara cyane mu nda kandi ububabare ntibuhagarara.,
GI07,Umugore wanjye,Umugore wanjye arababara cyane mu nda kandi ububabare ntibuhagarara.,
GI07,Umugabo wanjye,Umugabo wanjye arababara cyane mu nda kandi ububabare ntibuhagarara.,
GI07,Mama,Mama arababara cyane mu nda kandi ububabare ntibuhagarara.,
GI07,Papa,Papa arababara cyane mu nda kandi ububabare ntibuhagarara.,
GI07,Mushiki wanjye,Mushiki wanjye arababara cyane mu nda kandi ububabare ntibuhagarara.,
GI07,Umuturanyi wanjye,Umuturanyi wanjye arababara cyane mu nda kandi ububabare ntibuhagarara.,
GI07,Umukecuru,Umukecuru arababara cyane mu nda kandi ububabare ntibuhagarara.,
EX12,Umwana wanjye,Umwana wanjye amaze iminsi itatu arwaye impiswi zikomeye.,
EX12,Umugore wanjye,Umugore wanjye amaze iminsi itatu arwaye impiswi zikomeye.,
EX12,Umugabo wanjye,Umugabo wanjye amaze iminsi itatu arwaye impiswi zikomeye.,
EX12,Mama,Mama amaze iminsi itatu arwaye impiswi zikomeye.,
EX12,Papa,Papa amaze iminsi itatu arwaye impiswi zikomeye.,
EX12,Mushiki wanjye,Mushiki wanjye amaze iminsi itatu arwaye impiswi zikomeye.,
EX12,Umuturanyi wanjye,Umuturanyi wanjye amaze iminsi itatu arwaye impiswi zikomeye.,
EX12,Umukecuru,Umukecuru amaze iminsi itatu arwaye impiswi zikomeye.,
EX13,Umwana wanjye,Umwana wanjye arakomeza kuruka kandi ntashobora kurya.,
EX13,Umugore wanjye,Umugore wanjye arakomeza kuruka kandi ntashobora kurya.,
EX13,Umugabo wanjye,Umugabo wanjye arakomeza kuruka kandi ntashobora kurya.,
EX13,Mama,Mama arakomeza kuruka kandi ntashobora kurya.,
EX13,Papa,Papa arakomeza kuruka kandi ntashobora kurya.,
EX13,Mushiki wanjye,Mushiki wanjye arakomeza kuruka kandi ntashobora kurya.,
EX13,Umuturanyi wanjye,Umuturanyi wanjye arakomeza kuruka kandi ntashobora kurya.,
EX13,Umukecuru,Umukecuru arakomeza kuruka kandi ntashobora kurya.,
EX14,Umwana wanjye,Umwana wanjye arababara cyane mu nda.,
EX14,Umugore wanjye,Umugore wanjye arababara cyane mu nda.,
EX14,Umugabo wanjye,Umugabo wanjye arababara cyane mu nda.,
EX14,Mama,Mama arababara cyane mu nda.,
EX14,Papa,Papa arababara cyane mu nda.,
EX14,Mushiki wanjye,Mushiki wanjye arababara cyane mu nda.,
EX14,Umuturanyi wanjye,Umuturanyi wanjye arababara cyane mu nda.,
EX14,Umukecuru,Umukecuru arababara cyane mu nda.,
EX15,Umwana wanjye,Umwana wanjye araruka cyane kandi yumva afite intege nke.,
EX15,Umugore wanjye,Umugore wanjye araruka cyane kandi yumva afite intege nke.,
EX15,Umugabo wanjye,Umugabo wanjye araruka cyane kandi yumva afite intege nke.,
EX15,Mama,Mama araruka cyane kandi yumva afite intege nke.,
EX15,Papa,Papa araruka cyane kandi yumva afite intege nke.,
EX15,Mushiki wanjye,Mushiki wanjye araruka cyane kandi yumva afite intege nke.,
EX15,Umuturanyi wanjye,Umuturanyi wanjye araruka cyane kandi yumva afite intege nke.,
EX15,Umukecuru,Umukecuru araruka cyane kandi yumva afite intege nke.,
EX16,Umwana wanjye,"Iyo umwana wanjye amaze kurya, yumva inda itameze neza.",
EX16,Umugore wanjye,"Iyo umugore wanjye amaze kurya, yumva inda itameze neza.",
EX16,Umugabo wanjye,"Iyo umugabo wanjye amaze kurya, yumva inda itameze neza.",
EX16,Mama,"Iyo mama amaze kurya, yumva inda itameze neza.",
EX16,Papa,"Iyo papa amaze kurya, yumva inda itameze neza.",
EX16,Mushiki wanjye,"Iyo mushiki wanjye amaze kurya, yumva inda itameze neza.",
EX16,Umuturanyi wanjye,"Iyo umuturanyi wanjye amaze kurya, yumva inda itameze neza.",
EX16,Umukecuru,"Iyo umukecuru amaze kurya, yumva inda itameze neza.",
