concept_id,relation,rendered,your_ruling
EX27,Umuturanyi wanjye,"Umuturanyi wanjye afite umuriro kandi yumva afite imbeho, akeka ko ari malariya.",
EX27,Umukecuru,"Umukecuru afite umuriro kandi yumva afite imbeho, akeka ko ari malariya.",
EX28,Umwana wanjye,Umwana wanjye afite umuriro kandi umutwe uramubabaza cyane.,
EX28,Umugore wanjye,Umugore wanjye afite umuriro kandi umutwe uramubabaza cyane.,
EX28,Umugabo wanjye,Umugabo wanjye afite umuriro kandi umutwe uramubabaza cyane.,
EX28,Mama,Mama afite umuriro kandi umutwe uramubabaza cyane.,
EX28,Papa,Papa afite umuriro kandi umutwe uramubabaza cyane.,
EX28,Mushiki wanjye,Mushiki wanjye afite umuriro kandi umutwe uramubabaza cyane.,
EX28,Umuturanyi wanjye,Umuturanyi wanjye afite umuriro kandi umutwe uramubabaza cyane.,
EX28,Umukecuru,Umukecuru afite umuriro kandi umutwe uramubabaza cyane.,
EX29,Umwana wanjye,"Umwana wanjye afite umuriro woroheje umaze umunsi umwe, ariko nta kindi kibazo afite.",
EX29,Umugore wanjye,"Umugore wanjye afite umuriro woroheje umaze umunsi umwe, ariko nta kindi kibazo afite.",
EX29,Umugabo wanjye,"Umugabo wanjye afite umuriro woroheje umaze umunsi umwe, ariko nta kindi kibazo afite.",
EX29,Mama,"Mama afite umuriro woroheje umaze umunsi umwe, ariko nta kindi kibazo afite.",
EX29,Papa,"Papa afite umuriro woroheje umaze umunsi umwe, ariko nta kindi kibazo afite.",
EX29,Mushiki wanjye,"Mushiki wanjye afite umuriro woroheje umaze umunsi umwe, ariko nta kindi kibazo afite.",
EX29,Umuturanyi wanjye,"Umuturanyi wanjye afite umuriro woroheje umaze umunsi umwe, ariko nta kindi kibazo afite.",
EX29,Umukecuru,"Umukecuru afite umuriro woroheje umaze umunsi umwe, ariko nta kindi kibazo afite.",
EX31,Umwana wanjye,Umwana wanjye amazuru ye aratemba gake.,
EX31,Umugore wanjye,Umugore wanjye amazuru ye aratemba gake.,
EX31,Umugabo wanjye,Umugabo wanjye amazuru ye aratemba gake.,
EX31,Mama,Mama amazuru ye aratemba gake.,
EX31,Papa,Papa amazuru ye aratemba gake.,
EX31,Mushiki wanjye,Mushiki wanjye amazuru ye aratemba gake.,
EX31,Umuturanyi wanjye,Umuturanyi wanjye amazuru ye aratemba gake.,
EX31,Umukecuru,Umukecuru amazuru ye aratemba gake.,
