concept_id,domain,urgency,english_gloss,anchor,source
GI07,gastrointestinal,URGENT,severe abdominal pain that will not settle,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
HT02,haemorrhage_trauma,CRITICAL,deep wound with bone visible,BEC Module 2: approach to trauma,WHO-ICRC BEC 2018 (CC BY-NC-SA 3.0 IGO)
HT03,haemorrhage_trauma,CRITICAL,head injury with vomiting and confusion,BEC Module 2: trauma + Module 5: altered mental status,WHO-ICRC BEC 2018 (CC BY-NC-SA 3.0 IGO)
HT04,haemorrhage_trauma,CRITICAL,large burn,BEC Module 2: approach to trauma (burns),WHO-ICRC BEC 2018 (CC BY-NC-SA 3.0 IGO)
HT05,haemorrhage_trauma,URGENT,limb deformed after a fall,BEC Module 2: approach to trauma,WHO-ICRC BEC 2018 (CC BY-NC-SA 3.0 IGO)
HT07,haemorrhage_trauma,URGENT,snake bite,BEC Module 2: trauma (snake bite),WHO-ICRC BEC 2018 (CC BY-NC-SA 3.0 IGO)
HT08,haemorrhage_trauma,ROUTINE,"small cut, bleeding stopped",clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
IF01,infectious_fever,CRITICAL,fever with stiff neck,IMCI: stiff neck -> VERY SEVERE FEBRILE DISEASE,WHO IMCI 2014 (All rights reserved)
IF02,infectious_fever,CRITICAL,fever with convulsions,IMCI: convulsions -> VERY SEVERE FEBRILE DISEASE,WHO IMCI 2014 (All rights reserved)
IF03,infectious_fever,CRITICAL,fever and unable to drink,IMCI general danger sign: not able to drink or breastfeed,WHO IMCI 2014 (All rights reserved)
IF04,infectious_fever,URGENT,fever with chills and sweats for days,"IMCI: fever, malaria risk",WHO IMCI 2014 (All rights reserved)
IF05,infectious_fever,URGENT,fever with generalised rash,IMCI: generalised rash -> MEASLES,WHO IMCI 2014 (All rights reserved)
IF06,infectious_fever,URGENT,fever with pain passing urine,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
EX33,neurological,CRITICAL,convulsing,IMCI general danger sign: convulsions,WHO IMCI 2014 (All rights reserved)
NE05,neurological,URGENT,severe headache with vomiting and photophobia,BEC Module 5: altered mental status (meningitis differential),WHO-ICRC BEC 2018 (CC BY-NC-SA 3.0 IGO)
NE06,neurological,URGENT,new confusion today,BEC Module 5: altered mental status,WHO-ICRC BEC 2018 (CC BY-NC-SA 3.0 IGO)
NE07,neurological,URGENT,repeated fainting,BEC Module 4: shock / Module 5: altered mental status,WHO-ICRC BEC 2018 (CC BY-NC-SA 3.0 IGO)
OB01,obstetric,CRITICAL,,MCPC: eclampsia / convulsions in pregnancy,WHO MCPC 2017 (CC BY-NC-SA 3.0 IGO)
OB02,obstetric,CRITICAL,,"MCPC: severe pre-eclampsia (headache, visual disturbance)",WHO MCPC 2017 (CC BY-NC-SA 3.0 IGO)
OB03,obstetric,CRITICAL,,MCPC: cord prolapse,WHO MCPC 2017 (CC BY-NC-SA 3.0 IGO)
OB04,obstetric,CRITICAL,,MCPC: obstructed labour / prolonged labour,WHO MCPC 2017 (CC BY-NC-SA 3.0 IGO)
OB05,obstetric,CRITICAL,,MCPC: puerperal sepsis,WHO MCPC 2017 (CC BY-NC-SA 3.0 IGO)
OB06,obstetric,CRITICAL,fetal demise - the baby has died in the womb,MCPC: reduced/absent fetal movement,WHO MCPC 2017 (CC BY-NC-SA 3.0 IGO)
OB07,obstetric,URGENT,,MCPC: prelabour rupture of membranes,WHO MCPC 2017 (CC BY-NC-SA 3.0 IGO)
OB08,obstetric,URGENT,,MCPC: preterm labour,WHO MCPC 2017 (CC BY-NC-SA 3.0 IGO)
OB09,obstetric,URGENT,,MCPC: fever in pregnancy / puerperal infection,WHO MCPC 2017 (CC BY-NC-SA 3.0 IGO)
OB10,obstetric,URGENT,,MCPC: vomiting in pregnancy,WHO MCPC 2017 (CC BY-NC-SA 3.0 IGO)
OB11,obstetric,ROUTINE,,routine antenatal care - not a complication; PCPNC territory,clinician-defined (no WHO anchor)
OB12,obstetric,ROUTINE,,IMCI: assess breastfeeding / counselling,WHO IMCI 2014 (All rights reserved)
OB13,obstetric,URGENT,reduced fetal movement,MCPC: reduced/absent fetal movement,WHO MCPC 2017 (CC BY-NC-SA 3.0 IGO)
PA02,paediatric,CRITICAL,child too weak to breastfeed,IMCI general danger sign: not able to drink or breastfeed,WHO IMCI 2014 (All rights reserved)
PA03,paediatric,CRITICAL,child unconscious or floppy,IMCI general danger sign: lethargic or unconscious,WHO IMCI 2014 (All rights reserved)
PA04,paediatric,CRITICAL,child breathing fast with chest indrawing,IMCI: chest indrawing -> SEVERE PNEUMONIA,WHO IMCI 2014 (All rights reserved)
PA05,paediatric,URGENT,child with diarrhoea and sunken eyes,IMCI: SOME/SEVERE DEHYDRATION,WHO IMCI 2014 (All rights reserved)
PA07,paediatric,URGENT,"child very thin, not gaining weight",IMCI: ACUTE MALNUTRITION (MUAC/oedema),WHO IMCI 2014 (All rights reserved)
PA08,paediatric,URGENT,child with ear pain and discharge,IMCI: ACUTE EAR INFECTION,WHO IMCI 2014 (All rights reserved)
PA09,paediatric,ROUTINE,child growth monitoring visit,IMCI: care of the well child,WHO IMCI 2014 (All rights reserved)
PR01,preventive,URGENT,household contact of a TB patient,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
PR02,preventive,ROUTINE,family planning advice,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
PR03,preventive,ROUTINE,HIV test request,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
PR04,preventive,ROUTINE,collecting a mosquito net,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
PR05,preventive,ROUTINE,first antenatal booking visit,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
PR06,preventive,ROUTINE,blood pressure screening,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
PR07,preventive,ROUTINE,cervical screening appointment,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
PR08,preventive,ROUTINE,infant feeding advice,IMCI: assess feeding / counselling,WHO IMCI 2014 (All rights reserved)
PR09,preventive,ROUTINE,deworming for a child,IMCI: routine deworming,WHO IMCI 2014 (All rights reserved)
PR10,preventive,ROUTINE,advice on safe drinking water,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
