id,status,language,domain,proposed_urgency,phrase,english_gloss,drafted_by,confidence,speaker_verdict,speaker_corrected_phrase,speaker_notes,clinician_urgency,clinician_verdict,clinician_notes
E077,existing,english,haemorrhage_trauma,CRITICAL,a nosebleed that will not stop,,original corpus,,,,,,,
E078,existing,english,haemorrhage_trauma,CRITICAL,heavy bleeding that will not stop,,original corpus,,,,,,,
E079,existing,english,haemorrhage_trauma,URGENT,"an infected wound, red and full of pus",,original corpus,,,,,,,
E080,existing,english,haemorrhage_trauma,URGENT,severe pain after a fall,,original corpus,,,,,,,
E081,existing,french,haemorrhage_trauma,CRITICAL,un saignement abondant qui ne s'arrete pas,,original corpus,,,,,,,
E082,existing,french,haemorrhage_trauma,CRITICAL,un saignement de nez qui ne s'arrete pas,,original corpus,,,,,,,
E083,existing,french,haemorrhage_trauma,CRITICAL,une blessure a la tete apres une chute,,original corpus,,,,,,,
E084,existing,french,haemorrhage_trauma,CRITICAL,une plaie profonde qui saigne beaucoup,,original corpus,,,,,,,
E085,existing,french,haemorrhage_trauma,URGENT,de fortes douleurs apres une chute,,original corpus,,,,,,,
E086,existing,french,haemorrhage_trauma,URGENT,"une plaie infectee, rouge et avec du pus",,original corpus,,,,,,,
E087,existing,swahili,haemorrhage_trauma,CRITICAL,damu puani isiyoisha,,original corpus,,,,,,,
E088,existing,swahili,haemorrhage_trauma,CRITICAL,jeraha kubwa linalotoa damu nyingi,,original corpus,,,,,,,
E089,existing,swahili,haemorrhage_trauma,CRITICAL,jeraha la kichwa baada ya kuanguka,,original corpus,,,,,,,
E090,existing,swahili,haemorrhage_trauma,CRITICAL,kutokwa damu nyingi kusikoisha,,original corpus,,,,,,,
E091,existing,swahili,haemorrhage_trauma,URGENT,"jeraha lililoambukizwa, jekundu na usaha",,original corpus,,,,,,,
E092,existing,swahili,haemorrhage_trauma,URGENT,maumivu makali baada ya kuanguka,,original corpus,,,,,,,
E093,existing,kinyarwanda,infectious_fever,URGENT,"ibimenyetso bya malariya, umuriro n'imbeho",,original corpus,,,,,,,
E094,existing,kinyarwanda,infectious_fever,URGENT,umuriro mwinshi wa dogere 39,,original corpus,,,,,,,
E095,existing,kinyarwanda,infectious_fever,URGENT,umuriro n'inkorora bikabije,,original corpus,,,,,,,
E096,existing,kinyarwanda,infectious_fever,URGENT,umuriro n'ububabare bw'umubiri wose,,original corpus,,,,,,,
E097,existing,kinyarwanda,infectious_fever,URGENT,umuriro n'uburibwe mu mutwe bukabije,,original corpus,,,,,,,
E098,existing,kinyarwanda,infectious_fever,ROUTINE,amazuru atemba yoroheje,,original corpus,,,,,,,
E099,existing,kinyarwanda,infectious_fever,ROUTINE,inkorora yoroheje nta muriro,,original corpus,,,,,,,
E100,existing,english,infectious_fever,URGENT,a high fever of 39 degrees,,original corpus,,,,,,,
E101,existing,english,infectious_fever,URGENT,fever and aching all over,,original corpus,,,,,,,
E102,existing,english,infectious_fever,URGENT,fever with a bad cough,,original corpus,,,,,,,
E103,existing,english,infectious_fever,URGENT,fever with a severe headache,,original corpus,,,,,,,
E104,existing,english,infectious_fever,URGENT,"malaria symptoms, fever and chills",,original corpus,,,,,,,
E105,existing,english,infectious_fever,ROUTINE,a mild cough with no fever,,original corpus,,,,,,,
E106,existing,english,infectious_fever,ROUTINE,a mild runny nose,,original corpus,,,,,,,
E107,existing,french,infectious_fever,URGENT,de la fievre avec un mal de tete severe,,original corpus,,,,,,,
E108,existing,french,infectious_fever,URGENT,de la fievre avec une mauvaise toux,,original corpus,,,,,,,
E109,existing,french,infectious_fever,URGENT,de la fievre et des courbatures partout,,original corpus,,,,,,,
E110,existing,french,infectious_fever,URGENT,"des symptomes de paludisme, fievre et frissons",,original corpus,,,,,,,
E111,existing,french,infectious_fever,URGENT,une forte fievre de 39 degres,,original corpus,,,,,,,
E112,existing,french,infectious_fever,ROUTINE,un nez qui coule legerement,,original corpus,,,,,,,
E113,existing,french,infectious_fever,ROUTINE,une toux legere sans fievre,,original corpus,,,,,,,
E114,existing,swahili,infectious_fever,URGENT,"dalili za malaria, homa na baridi",,original corpus,,,,,,,
E115,existing,swahili,infectious_fever,URGENT,homa kali ya digrii 39,,original corpus,,,,,,,
E116,existing,swahili,infectious_fever,URGENT,homa na kikohozi kikali,,original corpus,,,,,,,
E117,existing,swahili,infectious_fever,URGENT,homa na maumivu makali ya kichwa,,original corpus,,,,,,,
E118,existing,swahili,infectious_fever,URGENT,homa na maumivu ya mwili mzima,,original corpus,,,,,,,
E119,existing,swahili,infectious_fever,ROUTINE,kikohozi kidogo bila homa,,original corpus,,,,,,,
E120,existing,swahili,infectious_fever,ROUTINE,mafua kidogo puani,,original corpus,,,,,,,
E121,existing,kinyarwanda,neurological,CRITICAL,kugagara no guhinda umushyitsi,,original corpus,,,,,,,
E122,existing,kinyarwanda,neurological,CRITICAL,kutabasha kuvuga neza n'umunwa wagoramye,,original corpus,,,,,,,
E123,existing,kinyarwanda,neurological,CRITICAL,uruhande rumwe rw'umubiri rutagikora,,original corpus,,,,,,,
E124,existing,kinyarwanda,neurological,CRITICAL,yataye ubwenge ntiyasubiza,,original corpus,,,,,,,
E125,existing,kinyarwanda,neurological,ROUTINE,uburibwe buke mu mutwe budakabije,,original corpus,,,,,,,
E126,existing,kinyarwanda,neurological,ROUTINE,umunaniro woroheje,,original corpus,,,,,,,
E127,existing,english,neurological,CRITICAL,convulsions and shaking,,original corpus,,,,,,,
E128,existing,english,neurological,CRITICAL,lost consciousness and is not responding,,original corpus,,,,,,,
E129,existing,english,neurological,CRITICAL,one side of the body not working,,original corpus,,,,,,,
E130,existing,english,neurological,CRITICAL,slurred speech and a drooping face,,original corpus,,,,,,,
E131,existing,english,neurological,ROUTINE,a mild headache that is not severe,,original corpus,,,,,,,
E132,existing,english,neurological,ROUTINE,mild tiredness during the day,,original corpus,,,,,,,
E133,existing,french,neurological,CRITICAL,des convulsions et des tremblements,,original corpus,,,,,,,
E134,existing,french,neurological,CRITICAL,des difficultes a parler et le visage deforme,,original corpus,,,,,,,
E135,existing,french,neurological,CRITICAL,perdu connaissance et ne repond plus,,original corpus,,,,,,,
E136,existing,french,neurological,CRITICAL,un cote du corps qui ne bouge plus,,original corpus,,,,,,,
E137,existing,french,neurological,ROUTINE,un mal de tete leger sans gravite,,original corpus,,,,,,,
E138,existing,french,neurological,ROUTINE,une legere fatigue pendant la journee,,original corpus,,,,,,,
E139,existing,swahili,neurological,CRITICAL,amepoteza fahamu na hajibu,,original corpus,,,,,,,
E140,existing,swahili,neurological,CRITICAL,kifafa na kutetemeka,,original corpus,,,,,,,
E141,existing,swahili,neurological,CRITICAL,shida ya kuongea na uso umepinda,,original corpus,,,,,,,
E142,existing,swahili,neurological,CRITICAL,upande mmoja wa mwili haufanyi kazi,,original corpus,,,,,,,
E143,existing,swahili,neurological,ROUTINE,maumivu kidogo ya kichwa yasiyo makali,,original corpus,,,,,,,
E144,existing,swahili,neurological,ROUTINE,uchovu kidogo wakati wa mchana,,original corpus,,,,,,,
E145,existing,kinyarwanda,obstetric,CRITICAL,kuva amaraso menshi nyuma yo kubyara,,original corpus,,,,,,,
E146,existing,kinyarwanda,obstetric,CRITICAL,ububabare bukabije mu nda ndi utwite kandi ndavuye amaraso,,original corpus,,,,,,,
E147,existing,english,obstetric,CRITICAL,heavy bleeding after giving birth,,original corpus,,,,,,,
E148,existing,english,obstetric,CRITICAL,severe abdominal pain in pregnancy with bleeding,,original corpus,,,,,,,
E149,existing,french,obstetric,CRITICAL,de fortes douleurs au ventre pendant la grossesse avec saignement,,original corpus,,,,,,,
E150,existing,french,obstetric,CRITICAL,un saignement important apres l'accouchement,,original corpus,,,,,,,
E151,existing,swahili,obstetric,CRITICAL,kutokwa damu nyingi baada ya kujifungua,,original corpus,,,,,,,
E152,existing,swahili,obstetric,CRITICAL,maumivu makali ya tumbo wakati wa ujauzito na damu,,original corpus,,,,,,,
E153,existing,kinyarwanda,paediatric,CRITICAL,umwana ufite guhinda umushyitsi n'umuriro urenga dogere 40,,original corpus,,,,,,,
E154,existing,kinyarwanda,paediatric,CRITICAL,umwana utagihumeka neza kandi ahindutse ubururu,,original corpus,,,,,,,
E155,existing,kinyarwanda,paediatric,URGENT,umwana ufite umuriro mwinshi kandi ntarya,,original corpus,,,,,,,
E156,existing,kinyarwanda,paediatric,URGENT,umwana ufite umuriro n'uduheri ku mubiri,,original corpus,,,,,,,
E157,existing,english,paediatric,CRITICAL,a child struggling to breathe and turning blue,,original corpus,,,,,,,
E158,existing,english,paediatric,CRITICAL,convulsions with a fever above 40 degrees,,original corpus,,,,,,,
E159,existing,english,paediatric,URGENT,a fever and a rash spreading on the body,,original corpus,,,,,,,
E160,existing,english,paediatric,URGENT,a high fever and refusing to eat,,original corpus,,,,,,,
E161,existing,french,paediatric,CRITICAL,des convulsions avec une fievre au dessus de 40 degres,,original corpus,,,,,,,
E162,existing,french,paediatric,CRITICAL,un enfant qui respire mal et devient bleu,,original corpus,,,,,,,
E163,existing,french,paediatric,URGENT,de la fievre et des boutons qui se propagent,,original corpus,,,,,,,
E164,existing,french,paediatric,URGENT,une forte fievre et refuse de manger,,original corpus,,,,,,,
E165,existing,swahili,paediatric,CRITICAL,kifafa na homa zaidi ya digrii 40,,original corpus,,,,,,,
E166,existing,swahili,paediatric,CRITICAL,mtoto anayeshindwa kupumua na kuwa bluu,,original corpus,,,,,,,
E167,existing,swahili,paediatric,URGENT,homa kali na anakataa kula,,original corpus,,,,,,,
E168,existing,swahili,paediatric,URGENT,homa na vipele vinavyoenea mwilini,,original corpus,,,,,,,
E169,existing,kinyarwanda,preventive,ROUTINE,gahunda yo gukingiza umwana,,original corpus,,,,,,,
E170,existing,kinyarwanda,preventive,ROUTINE,gahunda yo gusuzumwa buri mwaka,,original corpus,,,,,,,
E171,existing,kinyarwanda,preventive,ROUTINE,icyifuzo cyo gupima amaraso,,original corpus,,,,,,,
E172,existing,kinyarwanda,preventive,ROUTINE,ubujyanama ku mirire myiza,,original corpus,,,,,,,
E173,existing,english,preventive,ROUTINE,a child vaccination appointment,,original corpus,,,,,,,
E174,existing,english,preventive,ROUTINE,a question about healthy diet,,original corpus,,,,,,,
E175,existing,english,preventive,ROUTINE,a request for a blood test,,original corpus,,,,,,,
E176,existing,english,preventive,ROUTINE,an annual checkup appointment,,original corpus,,,,,,,
E177,existing,french,preventive,ROUTINE,un rendez vous de vaccination pour l'enfant,,original corpus,,,,,,,
E178,existing,french,preventive,ROUTINE,un rendez vous pour un bilan annuel,,original corpus,,,,,,,
E179,existing,french,preventive,ROUTINE,une demande d'analyse de sang,,original corpus,,,,,,,
E180,existing,french,preventive,ROUTINE,une question sur une alimentation saine,,original corpus,,,,,,,
E181,existing,swahili,preventive,ROUTINE,miadi ya chanjo ya mtoto,,original corpus,,,,,,,
E182,existing,swahili,preventive,ROUTINE,miadi ya uchunguzi wa mwaka,,original corpus,,,,,,,
E183,existing,swahili,preventive,ROUTINE,ombi la kupima damu,,original corpus,,,,,,,
E184,existing,swahili,preventive,ROUTINE,swali kuhusu lishe bora,,original corpus,,,,,,,
D001,draft,kinyarwanda,obstetric,CRITICAL,kugagara ndi utwite,convulsion in pregnancy (eclampsia),Claude (unverified),low,,,,,,
D002,draft,swahili,obstetric,CRITICAL,kifafa wakati wa ujauzito,convulsion in pregnancy (eclampsia),Claude (unverified),low,,,,,,
D003,draft,english,obstetric,CRITICAL,fits or convulsions while pregnant,convulsion in pregnancy (eclampsia),Claude (unverified),medium,,,,,,
D004,draft,french,obstetric,CRITICAL,des convulsions pendant la grossesse,convulsion in pregnancy (eclampsia),Claude (unverified),medium,,,,,,
D005,draft,kinyarwanda,obstetric,CRITICAL,umutwe urababara cyane amaso ahumye ndi utwite,severe headache with blurred vision in pregnancy (pre-eclampsia),Claude (unverified),low,,,,,,
D006,draft,swahili,obstetric,CRITICAL,maumivu makali ya kichwa na kutoona vizuri nikiwa mjamzito,severe headache with blurred vision in pregnancy (pre-eclampsia),Claude (unverified),low,,,,,,
D007,draft,english,obstetric,CRITICAL,severe headache and blurred vision in pregnancy,severe headache with blurred vision in pregnancy (pre-eclampsia),Claude (unverified),medium,,,,,,
D008,draft,french,obstetric,CRITICAL,un mal de tete violent avec une vue trouble enceinte,severe headache with blurred vision in pregnancy (pre-eclampsia),Claude (unverified),medium,,,,,,
D009,draft,kinyarwanda,obstetric,CRITICAL,umugozi w'umwana usohotse mbere,baby's cord or hand coming out first,Claude (unverified),low,,,,,,
D010,draft,swahili,obstetric,CRITICAL,kitovu cha mtoto kimetoka kwanza,baby's cord or hand coming out first,Claude (unverified),low,,,,,,
D011,draft,english,obstetric,CRITICAL,the cord came out before the baby,baby's cord or hand coming out first,Claude (unverified),medium,,,,,,
D012,draft,french,obstetric,CRITICAL,le cordon est sorti avant le bebe,baby's cord or hand coming out first,Claude (unverified),medium,,,,,,
D013,draft,kinyarwanda,obstetric,CRITICAL,ndababara kubyara umunsi wose ntibyagenze,labour lasting more than a day without delivery,Claude (unverified),low,,,,,,
D014,draft,swahili,obstetric,CRITICAL,nina uchungu tangu jana bila kujifungua,labour lasting more than a day without delivery,Claude (unverified),low,,,,,,
D015,draft,english,obstetric,CRITICAL,in labour since yesterday and the baby has not come,labour lasting more than a day without delivery,Claude (unverified),medium,,,,,,
D016,draft,french,obstetric,CRITICAL,en travail depuis hier sans que le bebe arrive,labour lasting more than a day without delivery,Claude (unverified),medium,,,,,,
D017,draft,kinyarwanda,obstetric,CRITICAL,umuriro mwinshi n'ibisohoka binuka nyuma yo kubyara,high fever with foul discharge after delivery (sepsis),Claude (unverified),low,,,,,,
D018,draft,swahili,obstetric,CRITICAL,homa kali na uchafu wenye harufu baada ya kujifungua,high fever with foul discharge after delivery (sepsis),Claude (unverified),low,,,,,,
D019,draft,english,obstetric,CRITICAL,high fever and foul-smelling discharge after delivery,high fever with foul discharge after delivery (sepsis),Claude (unverified),medium,,,,,,
D020,draft,french,obstetric,CRITICAL,une forte fievre et des pertes malodorantes apres l'accouchement,high fever with foul discharge after delivery (sepsis),Claude (unverified),medium,,,,,,
D021,draft,kinyarwanda,obstetric,URGENT,umwana ahagaze kwikinisha mu nda,baby has stopped moving in the womb,Claude (unverified),low,,,,,,
D022,draft,swahili,obstetric,URGENT,mtoto ameacha kucheza tumboni,baby has stopped moving in the womb,Claude (unverified),low,,,,,,
D023,draft,english,obstetric,URGENT,the baby has stopped moving in my womb,baby has stopped moving in the womb,Claude (unverified),medium,,,,,,
D024,draft,french,obstetric,URGENT,le bebe ne bouge plus dans mon ventre,baby has stopped moving in the womb,Claude (unverified),medium,,,,,,
D025,draft,kinyarwanda,obstetric,URGENT,amazi yamenetse ntaragera igihe,"waters broke early, before nine months",Claude (unverified),low,,,,,,
D026,draft,swahili,obstetric,URGENT,maji yamevunjika kabla ya wakati,"waters broke early, before nine months",Claude (unverified),low,,,,,,
D027,draft,english,obstetric,URGENT,my waters broke before nine months,"waters broke early, before nine months",Claude (unverified),medium,,,,,,
D028,draft,french,obstetric,URGENT,j'ai perdu les eaux avant terme,"waters broke early, before nine months",Claude (unverified),medium,,,,,,
D029,draft,kinyarwanda,obstetric,URGENT,ndababara nk'ubyara ntaragera igihe,labour pains before nine months,Claude (unverified),low,,,,,,
D030,draft,swahili,obstetric,URGENT,nina uchungu kabla ya miezi tisa,labour pains before nine months,Claude (unverified),low,,,,,,
D031,draft,english,obstetric,URGENT,labour pains before nine months,labour pains before nine months,Claude (unverified),medium,,,,,,
D032,draft,french,obstetric,URGENT,des douleurs de travail avant terme,labour pains before nine months,Claude (unverified),medium,,,,,,
D033,draft,kinyarwanda,obstetric,URGENT,mfite umuriro ndi utwite,fever during pregnancy,Claude (unverified),low,,,,,,
D034,draft,swahili,obstetric,URGENT,nina homa nikiwa mjamzito,fever during pregnancy,Claude (unverified),low,,,,,,
D035,draft,english,obstetric,URGENT,fever while pregnant,fever during pregnancy,Claude (unverified),medium,,,,,,
D036,draft,french,obstetric,URGENT,de la fievre pendant la grossesse,fever during pregnancy,Claude (unverified),medium,,,,,,
D037,draft,kinyarwanda,obstetric,URGENT,ndaruka ibyo ndya byose ndi utwite,"vomiting everything, cannot keep food down, in pregnancy",Claude (unverified),low,,,,,,
D038,draft,swahili,obstetric,URGENT,natapika kila ninachokula nikiwa mjamzito,"vomiting everything, cannot keep food down, in pregnancy",Claude (unverified),low,,,,,,
D039,draft,english,obstetric,URGENT,vomiting everything I eat while pregnant,"vomiting everything, cannot keep food down, in pregnancy",Claude (unverified),medium,,,,,,
D040,draft,french,obstetric,URGENT,je vomis tout ce que je mange enceinte,"vomiting everything, cannot keep food down, in pregnancy",Claude (unverified),medium,,,,,,
D041,draft,kinyarwanda,obstetric,ROUTINE,gahunda yo gusuzumwa k'utwite,routine antenatal check-up,Claude (unverified),low,,,,,,
D042,draft,swahili,obstetric,ROUTINE,uchunguzi wa kawaida wa ujauzito,routine antenatal check-up,Claude (unverified),low,,,,,,
D043,draft,english,obstetric,ROUTINE,a routine pregnancy check-up,routine antenatal check-up,Claude (unverified),medium,,,,,,
D044,draft,french,obstetric,ROUTINE,une visite prenatale de routine,routine antenatal check-up,Claude (unverified),medium,,,,,,
D045,draft,kinyarwanda,obstetric,ROUTINE,inama zo konsa umwana,advice on breastfeeding after delivery,Claude (unverified),low,,,,,,
D046,draft,swahili,obstetric,ROUTINE,ushauri wa kunyonyesha mtoto,advice on breastfeeding after delivery,Claude (unverified),low,,,,,,
D047,draft,english,obstetric,ROUTINE,advice about breastfeeding my baby,advice on breastfeeding after delivery,Claude (unverified),medium,,,,,,
D048,draft,french,obstetric,ROUTINE,des conseils pour allaiter mon bebe,advice on breastfeeding after delivery,Claude (unverified),medium,,,,,,
