concept_id,relation,rendered,your_ruling
EX23,Papa,Papa yaraguye none arababara cyane.,
EX23,Mushiki wanjye,Mushiki wanjye yaraguye none arababara cyane.,
EX23,Umuturanyi wanjye,Umuturanyi wanjye yaraguye none arababara cyane.,
EX23,Umukecuru,Umukecuru yaraguye none arababara cyane.,
HT07,Umwana wanjye,Umwana wanjye yarumwe n'inzoka.,
HT07,Umugore wanjye,Umugore wanjye yarumwe n'inzoka.,
HT07,Umugabo wanjye,Umugabo wanjye yarumwe n'inzoka.,
HT07,Mama,Mama yarumwe n'inzoka.,
HT07,Papa,Papa yarumwe n'inzoka.,
HT07,Mushiki wanjye,Mushiki wanjye yarumwe n'inzoka.,
HT07,Umuturanyi wanjye,Umuturanyi wanjye yarumwe n'inzoka.,
HT07,Umukecuru,Umukecuru yarumwe n'inzoka.,
HT08,Umwana wanjye,Umwana wanjye afite igikomere gito kandi amaraso yarahagaze.,
HT08,Umuhungu wanjye,Umuhungu wanjye afite igikomere gito kandi amaraso yarahagaze.,
HT08,Umukobwa wanjye,Umukobwa wanjye afite igikomere gito kandi amaraso yarahagaze.,
HT08,Umwuzukuru wanjye,Umwuzukuru wanjye afite igikomere gito kandi amaraso yarahagaze.,
HT08,Umwana w'umuturanyi,Umwana w'umuturanyi afite igikomere gito kandi amaraso yarahagaze.,
