concept_id,domain,proposed_urgency,english_gloss,anchor,person,applies,person_note,form,relation_set,suggested_english,candidate_origin,confidence,verdict_fidelity,suggestion_note,verdict_register,rw_english_check,your_phrasing,second_phrasing_optional,notes,source,needs_clinician,hold
EX03,cardiac_respiratory,CRITICAL,,,first,yes,,utterance,,My heart is racing and it feels as if it will stop.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches 'umutima uratera cyane kandi nkumva umeze nk'aho uhagarara'.,4,'my heart is racing' is idiomatic. 'My heart is beating fast' is plainer and closer to umutima uratera cyane.,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX03,cardiac_respiratory,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL}'s heart is racing and they feel as if it will stop.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches '{REL} umutima we utera cyane kandi yumva umeze nk'aho uhagarara.' — {REL} heads the subject as possessor, the OB07 shape. Singular 'their/they' per the ruling.",4,'my heart is racing' is idiomatic. 'My heart is beating fast' is plainer and closer to umutima uratera cyane.,,,,machine_reviewed,,
EX04,cardiac_respiratory,CRITICAL,,,first,yes,,utterance,,I am struggling to breathe and my lips have changed colour.,new_draft,medium,ok,"PARITY CORRECTION, and it now runs the other way. When I first checked, the speaker's EX04 third said 'ubururu' (blue) while the first said 'ibara' (colour); the Kinyarwanda has since been made consistent and BOTH persons now say 'ibara'. So English/French/Swahili naming blue is a three-against-one against a Kinyarwanda that is now internally settled, and under the ruling the English follows the patient's report. Dropping 'blue' also separates EX04 cleanly from CR03, whose speaker text IS 'Iminwa yanjye yahindutse ubururu' — the two concepts were only distinguishable by that word.",4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX04,cardiac_respiratory,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} is struggling to breathe and their lips have changed colour.,new_draft,medium,ok,person transform; singular 'their' per the ruling. Matches '{REL} ahumeka bimugora cyane kandi iminwa ye yahindutse ibara.',4,,,,,machine_reviewed,,
EX05,cardiac_respiratory,CRITICAL,,,first,yes,,utterance,,My chest hurts badly and the pain goes down my arm.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'mu gituza harandya cyane kandi ububabare bukagera no ku kuboko'. THE ARM ONLY — the jaw belongs to CR01, and CR01/EX05 is the one concept pair in the corpus carrying a RECORDED axis. Worded so neither phrase is a subsequence of the other.",4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX05,cardiac_respiratory,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} has bad chest pain and the pain goes down their arm.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches '{REL} arababara cyane mu gituza kandi ububabare bukagera no ku kuboko.' Arm only; see the first person.,4,,,,,machine_reviewed,,
CR04,cardiac_respiratory,URGENT,fast breathing with lower chest wall indrawing,IMCI: chest indrawing -> SEVERE PNEUMONIA,first,yes,,utterance,,breathing fast with the lower chest pulling in,sheet_draft,unreviewed,,,,,,,"HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept | draft D055 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",,INHERITED — restate in English terms during the domain pass,yes
CR04,cardiac_respiratory,URGENT,fast breathing with lower chest wall indrawing,IMCI: chest indrawing -> SEVERE PNEUMONIA,third,yes,,utterance,ALL_RELATIONS,,,,,,,,,,HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept,,INHERITED — restate in English terms during the domain pass,yes
CR05,cardiac_respiratory,URGENT,wheeze with chest tightness,IMCI: wheeze (assess for asthma),first,yes,,utterance,,When I breathe my chest feels tight and there is a whistling sound.,new_draft,medium,ok,"gloss 'wheeze with chest tightness'. Matches 'Iyo mpumeka, numva igituza gifashe kandi mpumeka nkumva hari ijwi ridasanzwe.' 'A whistling sound' is the ordinary English description of a wheeze and keeps both signs the concept needs.",4,'a whistling sound' is the standard lay description of wheeze in British and American English. Whether a Rwandan patient reaches for it is exactly what the Kinyarwanda hold on 'ijwi ridasanzwe' could not settle either.,,,"draft D057 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CR05,cardiac_respiratory,URGENT,wheeze with chest tightness,IMCI: wheeze (assess for asthma),third,yes,,utterance,ALL_RELATIONS,When {REL} breathes their chest feels tight and there is a whistling sound.,new_draft,medium,ok,"HOLD LIFTED — the Kinyarwanda hold does not transfer. It reads: ''ijwi ridasanzwe' is not a definitive clinical term for wheeze; clinician must confirm the mapping'. That is a question about whether those Kinyarwanda words pin the sign, and English 'a whistling sound when breathing' pins it without ambiguity. Same shape as PA08's ear term. The Kinyarwanda third is unauthored, so this row is drafted from the concept and the speaker's own first person.",4,'a whistling sound' is the standard lay description of wheeze in British and American English. Whether a Rwandan patient reaches for it is exactly what the Kinyarwanda hold on 'ijwi ridasanzwe' could not settle either.,,,HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept,machine_reviewed,INHERITED — restate in English terms during the domain pass,
CR06,cardiac_respiratory,URGENT,cough over two weeks with weight loss,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,I have been coughing for more than two weeks and I am losing weight.,new_draft,medium,ok,"gloss 'cough over two weeks with weight loss'. Matches 'Maze ibyumweru birenga bibiri nkorora kandi natangiye no kunanuka.' The TB screening context in the anchor is deliberately absent — it is the reason for the concept, not what a patient says.",4,,,,"draft D059 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CR06,cardiac_respiratory,URGENT,cough over two weeks with weight loss,clinician-defined (no WHO emergency-care anchor),third,yes,,utterance,ALL_RELATIONS,{REL} has been coughing for more than two weeks and is losing weight.,new_draft,medium,ok,matches '{REL} amaze ibyumweru birenga bibiri akorora kandi yatangiye no kunanuka.',4,,,,,machine_reviewed,,
EX06,cardiac_respiratory,URGENT,,,first,yes,,utterance,,I am coughing badly and I am short of breath.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches 'ndakorora cyane kandi guhumeka birangora'.,4,'short of breath' is idiomatic. 'I cannot breathe well' may be more typical and is closer to the Kinyarwanda.,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX06,cardiac_respiratory,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} is coughing badly and is short of breath.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches '{REL} arakorora cyane kandi ahumeka bimugora.',4,'short of breath' is idiomatic. 'I cannot breathe well' may be more typical and is closer to the Kinyarwanda.,,,,machine_reviewed,,
EX07,cardiac_respiratory,URGENT,,,first,yes,,utterance,,When I take a deep breath my chest hurts.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches 'iyo mpumetse cyane mu gituza harandya'.,4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX07,cardiac_respiratory,URGENT,,,third,yes,,utterance,ALL_RELATIONS,"When {REL} takes a deep breath, their chest hurts.",new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'Iyo {REL} ahumetse cyane, arumva mu gituza hamubabaza.' {REL} is the subject of the subordinate clause and not the first word, so lint warns positionally — the same shape the speaker used, and the renderer lowercases a non-initial relation correctly.",4,,,,,machine_reviewed,,
CR07,cardiac_respiratory,ROUTINE,"short mild cough, no fever","IMCI: cough, no pneumonia (green)",first,yes,,utterance,,I have a slight cough but no fever.,new_draft,medium,ok,"gloss 'short mild cough, no fever'. Matches the speaker's 'Nkorora gake ariko nta muriro mfite.' — this row carries EX30's wording after that collapse. FLAG: EX29's English candidate is still the stale v1 'a mild cough with no fever', which now describes THIS concept rather than its own; EX29's Kinyarwanda was rewritten to a mild one-day fever. That correction belongs to the infectious_fever batch.",4,,,,"EX30 collapsed into this concept. Its English text was 'a mild runny nose' — Kinyarwanda kept both wordings here (EX16 carries EX17's as a second phrasing), so consider it for second_phrasing_optional rather than letting it drop. | draft D061 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CR07,cardiac_respiratory,ROUTINE,"short mild cough, no fever","IMCI: cough, no pneumonia (green)",third,yes,,utterance,CHILD_RELATIONS,{REL} has a slight cough but no fever.,new_draft,medium,ok,"matches '{REL} akorora gake ariko nta muriro afite.' CHILD_RELATIONS by ruling, so this expands over the five child relations only.",4,,,,,machine_reviewed,,
CC01,chronic_care,CRITICAL,"diabetic with vomiting, deep breathing and drowsiness",BEC Module 5: altered mental status (diabetic emergency),first,yes,,utterance,,"diabetic, vomiting, breathing deeply and very drowsy",sheet_draft,unreviewed,,,,,,,"HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept | draft D125 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",,INHERITED — restate in English terms during the domain pass,yes
CC01,chronic_care,CRITICAL,"diabetic with vomiting, deep breathing and drowsiness",BEC Module 5: altered mental status (diabetic emergency),third,yes,,utterance,ALL_RELATIONS,"{REL} has diabetes and is vomiting, breathing deeply and very drowsy.",new_draft,low,ok,"gloss 'diabetic with vomiting, deep breathing and drowsiness'. THIRD PERSON ONLY — the first stays held in both languages. The Kinyarwanda hold is clinical, not lexical: whether a patient who can feel drowsy and notice their own deep breathing is drowsy enough for the concept. An observer reporting all three signs has no such problem, the same split as HT03 and NE06. Kinyarwanda is unauthored for both persons, so this is drafted from the gloss.",3,'breathing deeply' is an observer's clinical description; a carer is more likely to say breathing hard or fast.,,,,machine_reviewed,,
CC02,chronic_care,CRITICAL,hypoglycaemia with sweating and confusion,BEC Module 5: altered mental status (hypoglycaemia),first,yes,,utterance,,"shaking, sweating and confused, my sugar is low",sheet_draft,unreviewed,,,,,,,"HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept | draft D127 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",,INHERITED — restate in English terms during the domain pass,yes
CC02,chronic_care,CRITICAL,hypoglycaemia with sweating and confusion,BEC Module 5: altered mental status (hypoglycaemia),third,yes,,utterance,ALL_RELATIONS,"{REL} is sweating and shaking and is confused, their sugar is low.",new_draft,low,ok,"gloss 'hypoglycaemia with sweating and confusion'. THIRD PERSON ONLY, same reason as CC01 — and the Kinyarwanda note names this explicitly as NE06's question: sweating is self-perceived, only the confusion is not. Kinyarwanda unauthored for both persons.",3,"three clauses joined by and, reading as a summary rather than a report. 'Their sugar is low' is good and common; the rest is listy.",,,,machine_reviewed,,
CC03,chronic_care,URGENT,very high blood pressure with headache,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,My blood pressure has gone very high and my head is aching badly.,new_draft,medium,ok,"gloss 'very high blood pressure with headache'. Matches 'Umuvuduko w'amaraso wanjye wazamutse cyane kandi umutwe urandya cyane.' CARRIES EX09 INSIDE IT, as the Kinyarwanda does — see EX09's note. This is an inherited collision, not one introduced here, and it is on the Kinyarwanda session's list of five.",4,'blood pressure' — see EX09.,,,"draft D129 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CC03,chronic_care,URGENT,very high blood pressure with headache,clinician-defined (no WHO emergency-care anchor),third,yes,,utterance,ALL_RELATIONS,{REL}'s blood pressure has gone very high and their head is aching badly.,new_draft,medium,ok,matches '{REL} umuvuduko w'amaraso we wazamutse cyane kandi umutwe uramubabaza cyane.',4,'blood pressure' — see EX09.,,,,machine_reviewed,,
CC04,chronic_care,URGENT,swollen legs and breathless lying flat,BEC Module 3: approach to difficulty in breathing,first,yes,,utterance,,my legs are swollen and I cannot breathe lying down,sheet_draft,unreviewed,,,,,,,"HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept | draft D131 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",,INHERITED — restate in English terms during the domain pass,yes
CC04,chronic_care,URGENT,swollen legs and breathless lying flat,BEC Module 3: approach to difficulty in breathing,third,yes,,utterance,ALL_RELATIONS,{REL} has swollen legs and cannot breathe well when lying flat.,new_draft,medium,ok,"gloss 'swollen legs and breathless lying flat'. THIRD PERSON ONLY — the first is held on ONE Kinyarwanda word, 'ngaramye', which is what makes the phrase orthopnoea rather than ordinary breathlessness. That hold does not transfer as a wording question, because English says 'lying flat' without difficulty; but the row it protects is the first person and the speaker's own third is accepted and needs none of those forms. Matches '{REL} yabyimbye ibirenge kandi ntashobora guhumeka neza iyo aryamye agaramye.' 'When lying flat' carries the agaramye sense that the concept depends on.",4,,,,,machine_reviewed,,
CC05,chronic_care,URGENT,diabetic foot ulcer not healing,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,I have a sore on my foot that will not heal and I have diabetes.,new_draft,medium,ok,gloss 'diabetic foot ulcer not healing'. Matches 'Mfite igisebe ku kirenge kidakira kandi mfite diyabete.',4,,,,"draft D133 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CC05,chronic_care,URGENT,diabetic foot ulcer not healing,clinician-defined (no WHO emergency-care anchor),third,yes,,utterance,ADULT_RELATIONS,{REL} has a sore on their foot that will not heal and they have diabetes.,new_draft,medium,ok,"ADULT_RELATIONS by ruling — the concept excludes children on scope rather than rarity, a complication of years of disease. Matches '{REL} afite igisebe ku kirenge kidakira kandi afite diyabete.'",4,,,,,machine_reviewed,,
CC06,chronic_care,URGENT,ran out of antiretroviral medicine,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,I have no HIV medicine left.,new_draft,medium,ok,gloss 'ran out of antiretroviral medicine'. Matches 'Nta miti ya SIDA mfite.' REPLACES a stale draft that carried its own time expression — 'I finished my HIV medicine several days ago' — which is the example section 9 of docs/urgency-frame-coupling.md uses to refine section 8's own counter-example. The speaker's phrase has no duration and neither does this.,4,"'I have no HIV medicine left' is faithful to Nta miti ya SIDA mfite. But East African English strongly favours 'my medicine is finished' or 'the medicine got finished', which the Kinyarwanda does not say. Faithfulness and idiom pull apart here.",,,"draft D135 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CC06,chronic_care,URGENT,ran out of antiretroviral medicine,clinician-defined (no WHO emergency-care anchor),third,yes,,utterance,ALL_RELATIONS,{REL} has no HIV medicine left.,new_draft,medium,ok,matches '{REL} nta miti ya SIDA afite.',4,"'I have no HIV medicine left' is faithful to Nta miti ya SIDA mfite. But East African English strongly favours 'my medicine is finished' or 'the medicine got finished', which the Kinyarwanda does not say. Faithfulness and idiom pull apart here.",,,,machine_reviewed,,
CC07,chronic_care,URGENT,ran out of TB medicine,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,I have no TB medicine left.,new_draft,medium,ok,"gloss 'ran out of TB medicine'. Matches 'Nta miti y'igituntu mfite.' Parallel to CC06 by design, as the Kinyarwanda pair is; neither is a subsequence of the other because the disease word differs.",4,'no TB medicine left' — see CC06.,,,"draft D137 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CC07,chronic_care,URGENT,ran out of TB medicine,clinician-defined (no WHO emergency-care anchor),third,yes,,utterance,ALL_RELATIONS,{REL} has no TB medicine left.,new_draft,medium,ok,matches '{REL} nta miti y'igituntu afite.',4,'no TB medicine left' — see CC06.,,,,machine_reviewed,,
EX08,chronic_care,URGENT,,,first,yes,,utterance,,My blood sugar has gone very high.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'isukari yo mu maraso yanjye yazamutse cyane'. NOT reworded with EX09, and a correction to a note that briefly said it was: EX09's Kinyarwanda moved on 2026-09-05 and EX08's did NOT. Keeping the two parallel would have meant diverging this row from an unchanged source for the sake of symmetry, which is the wrong trade — EX08 says my sugar HAS RISEN and that is what the English says.",4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX08,chronic_care,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL}'s blood sugar has gone very high.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches '{REL} isukari yo mu maraso ye yazamutse cyane.' See the first person on why this did not move with EX09.,4,,,,,machine_reviewed,,
EX09,chronic_care,URGENT,,,first,yes,,utterance,,I have very high blood pressure.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","REWORDED 2026-09-05, and the mirror is retired. The Kinyarwanda EX09 was 'umuvuduko w'amaraso wanjye wazamutse cyane', which sat whole inside CC03 — one of the five multi-concept phrase groups, and the English mirrored it deliberately rather than working around a source-side problem. The Kinyarwanda session has now reworded EX09 to 'Mfite umuvuduko w'amaraso wazamutse cyane.' and the pair is DISSOLVED in both containment and subsequence. So the mirror has no reason to exist: this English now tracks the new Kinyarwanda ('I have' rather than 'my pressure has risen') and no longer sits inside CC03.",4,'blood pressure has gone very high'. In much East African English 'pressure' alone carries it — 'my pressure is high'. Flagged across EX09 and CC03.,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX09,chronic_care,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} has very high blood pressure.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",person transform; matches '{REL} afite umuvuduko w'amaraso wazamutse cyane.' No longer a subsequence of CC03 third.,4,'blood pressure has gone very high'. In much East African English 'pressure' alone carries it — 'my pressure is high'. Flagged across EX09 and CC03.,,,,machine_reviewed,,
CC08,chronic_care,ROUTINE,blood pressure medicine refill,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,I want a refill of my blood pressure medicine.,new_draft,medium,ok,"gloss 'blood pressure medicine refill'. Matches 'Ndashaka kongererwa imiti y'umuvuduko w'amaraso.' Third person is applies=no, ruled NO_RELATIONS — adult self-service.",4,,,,"draft D139 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CC08,chronic_care,ROUTINE,blood pressure medicine refill,clinician-defined (no WHO emergency-care anchor),third,no,"applies=no 2026-09-04. Ruled NO_RELATIONS in routine_relation_sets.csv — nobody presents on another's behalf for a refill or a routine review — so no third person exists. Left open it would have been offered for authoring by walk.py, producing a row that cannot generate: the PR02 failure shape, a ruling recorded where no code path reads it. The first-person row is untouched; NO_RELATIONS is a restriction, not a deletion.",utterance,NO_RELATIONS,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
CC09,chronic_care,ROUTINE,routine diabetes review,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,I want to come for my diabetes check-up.,new_draft,medium,ok,"gloss 'routine diabetes review'. Matches 'Ndashaka kujya kwa muganga kwisuzumisha diyabete.' FLAG: CC09 and CC10 are the ONE union PREFIX_UNION_CHARS made correctly, and they are now declared in GROUPED_CONCEPTS on the Kinyarwanda side. The English pair does not nest — the disease word sits mid-phrase rather than at the end — so if the two concepts should share a phrase group in English too, that needs declaring rather than falling out of the rule.",4,,,,"draft D141 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CC09,chronic_care,ROUTINE,routine diabetes review,clinician-defined (no WHO emergency-care anchor),third,no,"applies=no 2026-09-04. Ruled NO_RELATIONS in routine_relation_sets.csv — nobody presents on another's behalf for a refill or a routine review — so no third person exists. Left open it would have been offered for authoring by walk.py, producing a row that cannot generate: the PR02 failure shape, a ruling recorded where no code path reads it. The first-person row is untouched; NO_RELATIONS is a restriction, not a deletion.",utterance,NO_RELATIONS,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
CC10,chronic_care,ROUTINE,routine HIV clinic follow-up,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,I want to come for my HIV check-up.,new_draft,medium,ok,gloss 'routine HIV clinic follow-up'. Matches 'Ndashaka kujya kwa muganga kwisuzumisha SIDA.' See CC09's note on the declared grouping.,4,,,,"draft D143 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CC10,chronic_care,ROUTINE,routine HIV clinic follow-up,clinician-defined (no WHO emergency-care anchor),third,no,"applies=no 2026-09-04. Ruled NO_RELATIONS in routine_relation_sets.csv — nobody presents on another's behalf for a refill or a routine review — so no third person exists. Left open it would have been offered for authoring by walk.py, producing a row that cannot generate: the PR02 failure shape, a ruling recorded where no code path reads it. The first-person row is untouched; NO_RELATIONS is a restriction, not a deletion.",utterance,NO_RELATIONS,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
EX10,chronic_care,ROUTINE,,,first,yes,,utterance,,I want a refill of the medicine I am taking.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'ndashaka kongererwa imiti mfata'. Deliberately generic — CC08 is the blood-pressure-specific refill, and this is the unspecified one. Third person is applies=no, ruled NO_RELATIONS.",4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX10,chronic_care,ROUTINE,,,third,no,"applies=no 2026-09-04. Ruled NO_RELATIONS in routine_relation_sets.csv — nobody presents on another's behalf for a refill or a routine review — so no third person exists. Left open it would have been offered for authoring by walk.py, producing a row that cannot generate: the PR02 failure shape, a ruling recorded where no code path reads it. The first-person row is untouched; NO_RELATIONS is a restriction, not a deletion.",utterance,NO_RELATIONS,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
EX11,chronic_care,ROUTINE,,,first,yes,,utterance,,I want to keep coming for my check-ups.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'ndashaka gukomeza kujya kwa muganga kwisuzumisha'. FLAGGED, STILL OPEN: this is one of the seven EX concepts whose rewrite moved — v1 was 'a follow up after previous treatment' and the rewrite broadened it to continuing check-ups generally, which is close to CC09/CC10 and to EX44. Recorded in review/ex-concept-drift.md and not ruled. The English follows the rewrite, so if the concept is narrowed back this row moves with it.",4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX11,chronic_care,ROUTINE,,,third,no,"applies=no 2026-09-04. Ruled NO_RELATIONS in routine_relation_sets.csv — nobody presents on another's behalf for a refill or a routine review — so no third person exists. Left open it would have been offered for authoring by walk.py, producing a row that cannot generate: the PR02 failure shape, a ruling recorded where no code path reads it. The first-person row is untouched; NO_RELATIONS is a restriction, not a deletion.",utterance,NO_RELATIONS,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
