concept_id,domain,proposed_urgency,english_gloss,anchor,person,applies,person_note,form,relation_set,suggested_french,candidate_origin,confidence,verdict_fidelity,suggestion_note,verdict_register,rw_french_check,agreement_check,your_phrasing,second_phrasing_optional,notes,source,needs_clinician,hold
CC02,chronic_care,CRITICAL,hypoglycaemia with sweating and confusion,BEC Module 5: altered mental status (hypoglycaemia),third,yes,,utterance,ALL_RELATIONS,"{REL} tremble, transpire et n'a plus les idees claires, son sucre est bas.",new_draft,medium,ok,"FR-1: third use of the 'ne plus avoir les idees claires' idiom in place of 'confus', after HT03 and NE06. 'son sucre' is FR-2.",4,Same 'idees claires' idiom.,,,,,machine_reviewed,,
CC03,chronic_care,URGENT,very high blood pressure with headache,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,Ma tension est tres elevee et j'ai tres mal a la tete.,new_draft,medium,ok,"THE EX09 CONTAINMENT NEVER EXISTED IN FRENCH, and it no longer exists anywhere. English MIRRORED it deliberately — 'My blood pressure has gone very high' sits whole inside its CC03 — on the argument that wording around a source-side collision goes unmotivated the moment the source is fixed. The source was then fixed: the Kinyarwanda session reworded EX09 to 'Mfite umuvuduko...' and the collision dissolved. The French pair does not nest either way under the real splitter rule, so nothing here is a workaround. 'tension' rather than v1's 'tension arterielle', which is clinician register (rule 1).",4,"'la tension' for blood pressure. Standard French; confirm it is the ordinary Rwandan patient word rather than 'la pression' or 'la tension arterielle'. Also at EX09, CC08 and PR06.",,,,"draft D130 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CC03,chronic_care,URGENT,very high blood pressure with headache,clinician-defined (no WHO emergency-care anchor),third,yes,,utterance,ALL_RELATIONS,La tension de {REL} est tres elevee et la tete lui fait tres mal.,new_draft,medium,ok,"Mirrors 'umutwe uramubabaza cyane' with the invariable 'lui', as at EX07 and EX28.",4,,,,,,machine_reviewed,,
CC04,chronic_care,URGENT,swollen legs and breathless lying flat,BEC Module 3: approach to difficulty in breathing,first,yes,,utterance,,J'ai les jambes enflees et je ne peux pas bien respirer quand je m'allonge.,new_draft,medium,ok,"HOLD LIFTED BECAUSE THE SPEAKER AUTHORED IT, not because French routed around anything. The English brief still holds this row; it is stale. The hold turned on ONE WORD, 'ngaramye' — lying flat — which is what makes the phrase orthopnoea rather than ordinary breathlessness, and the speaker's 'iyo ndagaramye' restores it. FR-1: sheet draft D132's 'je ne peux pas respirer ALLONGE' is masculine; 'quand je m'allonge' is a reflexive present and takes no agreement. 'enflees' agrees with 'jambes', a fixed feminine.",4,,,,,"draft D132 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CC04,chronic_care,URGENT,swollen legs and breathless lying flat,BEC Module 3: approach to difficulty in breathing,third,yes,,utterance,ALL_RELATIONS,{REL} a les jambes enflees et ne peut pas bien respirer en position allongee.,new_draft,medium,ok,"FR-1, FIFTH SUB-CASE, and the same family as IF06: the first person's 'quand je m'allonge' does not transform, because 'quand il s'allonge' forces a gender. 'en position allongee' agrees with 'position', a fixed feminine, and keeps the orthopnoea limb the concept turns on.",3,"FR-1: 'quand il s'allonge' forces a gender, so 'en position allongee' carries the orthopnoea limb. That limb is the whole concept — one Kinyarwanda word, 'ngaramye', is what makes this orthopnoea rather than ordinary breathlessness — so a stiffer phrase was preferred to losing it. Confirm, and propose a plainer neutral form if there is one.",,,,,machine_reviewed,,
CC05,chronic_care,URGENT,diabetic foot ulcer not healing,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,J'ai une plaie au pied qui ne guerit pas et je suis diabetique.,new_draft,medium,ok,"'diabetique' is epicene, so 'je suis diabetique' is safe where 'je suis somnolent' at CC01 is not. Worth stating: FR-1 is about which words inflect, not about avoiding 'etre'.",4,"'je suis diabetique' is kept because 'diabetique' is epicene, where CC01's 'somnolent' is not. Confirm the sentence reads naturally with the diagnosis at the end, as the speaker has it.",,,,"draft D134 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CC05,chronic_care,URGENT,diabetic foot ulcer not healing,clinician-defined (no WHO emergency-care anchor),third,yes,,utterance,ADULT_RELATIONS,{REL} a une plaie au pied qui ne guerit pas et est diabetique.,new_draft,medium,ok,"ADULT_RELATIONS — the one concept ruling that had to be materialised as a set before it could be in force, and it is the seven relations including the grandmother.",4,,,,,,machine_reviewed,,
CC06,chronic_care,URGENT,ran out of antiretroviral medicine,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,Je n'ai plus de medicaments contre le VIH.,new_draft,medium,ok,"Sheet draft D136 was 'j'ai fini mes medicaments contre le VIH IL Y A PLUSIEURS JOURS'. The speaker's 'Nta miti ya SIDA mfite.' carries no duration and the ONSET slot supplies one, so the duration is dropped — the same correction English made to the same row.",4,"VIH OR SIDA, AND IT IS A PARITY QUESTION AS WELL AS A REGISTER ONE. French distinguishes the virus (VIH) from the disease (SIDA); the speaker's Kinyarwanda uses 'SIDA' for both — 'imiti ya SIDA', literally AIDS medicine. The French here says VIH, which is medically right and is not what the speaker said. Confirm which the corpus should use. Also at CC10 and PR03.",,,,"draft D136 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CC06,chronic_care,URGENT,ran out of antiretroviral medicine,clinician-defined (no WHO emergency-care anchor),third,yes,,utterance,ALL_RELATIONS,{REL} n'a plus de medicaments contre le VIH.,new_draft,medium,ok,,4,,,,,,machine_reviewed,,
CC07,chronic_care,URGENT,ran out of TB medicine,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,Je n'ai plus de medicaments contre la tuberculose.,new_draft,medium,ok,"Deliberately parallel to CC06 in structure. Checked: neither is a subsequence of the other, because the disease word is preceded by a different article and nothing else lines up.",4,,,,,"draft D138 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CC07,chronic_care,URGENT,ran out of TB medicine,clinician-defined (no WHO emergency-care anchor),third,yes,,utterance,ALL_RELATIONS,{REL} n'a plus de medicaments contre la tuberculose.,new_draft,medium,ok,,4,,,,,,machine_reviewed,,
CC08,chronic_care,ROUTINE,blood pressure medicine refill,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,Je voudrais renouveler mes medicaments pour la tension.,new_draft,medium,ok,Third person is applies=no: ruled NO_RELATIONS because nobody presents on another's behalf for a refill. Rule 12's easy case — beneficiary and requester are the same person.,4,"'la tension', paired with CC03.",,,,"draft D140 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CC08,chronic_care,ROUTINE,blood pressure medicine refill,clinician-defined (no WHO emergency-care anchor),third,no,"applies=no 2026-09-04. Ruled NO_RELATIONS in routine_relation_sets.csv — nobody presents on another's behalf for a refill or a routine review — so no third person exists. Left open it would have been offered for authoring by walk.py, producing a row that cannot generate: the PR02 failure shape, a ruling recorded where no code path reads it. The first-person row is untouched; NO_RELATIONS is a restriction, not a deletion.",utterance,NO_RELATIONS,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
CC09,chronic_care,ROUTINE,routine diabetes review,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,Je voudrais venir pour mon controle du diabete.,new_draft,medium,ok,"CC09/CC10 WOULD NEED A DECLARATION IN FRENCH, NOT A RULE, exactly as in English. The pair is the one union the retired PREFIX_UNION_CHARS made correctly, and it is now declared in GROUPED_CONCEPTS on the Kinyarwanda side. The French pair does not nest — the disease word is clause-final but preceded by a different article — so grouping them here is a declaration, not something the ordered-subsequence rule will produce.",4,,,,,"draft D142 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CC09,chronic_care,ROUTINE,routine diabetes review,clinician-defined (no WHO emergency-care anchor),third,no,"applies=no 2026-09-04. Ruled NO_RELATIONS in routine_relation_sets.csv — nobody presents on another's behalf for a refill or a routine review — so no third person exists. Left open it would have been offered for authoring by walk.py, producing a row that cannot generate: the PR02 failure shape, a ruling recorded where no code path reads it. The first-person row is untouched; NO_RELATIONS is a restriction, not a deletion.",utterance,NO_RELATIONS,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
CC10,chronic_care,ROUTINE,routine HIV clinic follow-up,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,Je voudrais venir pour mon controle du VIH.,new_draft,medium,ok,See CC09.,4,"VIH or SIDA, paired with CC06.",,,,"draft D144 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CC10,chronic_care,ROUTINE,routine HIV clinic follow-up,clinician-defined (no WHO emergency-care anchor),third,no,"applies=no 2026-09-04. Ruled NO_RELATIONS in routine_relation_sets.csv — nobody presents on another's behalf for a refill or a routine review — so no third person exists. Left open it would have been offered for authoring by walk.py, producing a row that cannot generate: the PR02 failure shape, a ruling recorded where no code path reads it. The first-person row is untouched; NO_RELATIONS is a restriction, not a deletion.",utterance,NO_RELATIONS,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
EX08,chronic_care,URGENT,,,first,yes,,utterance,,Mon taux de sucre dans le sang est tres eleve.,new_draft,medium,unverified: no gloss,"v1 'un taux de sucre tres eleve dans le sang' as an utterance, with the measurement as the grammatical subject — the speaker's own shape at 'isukari yo mu maraso yanjye'. Rule 11's measurement limb: reporting a blood sugar in first person is right, because it means HAS BEEN TOLD, not WAS MEASURED.",3,"'Mon taux de sucre dans le sang' — confirm this is what a patient says rather than 'mon sucre' or 'ma glycemie'. CC02 says 'mon sucre' for the same substance, so the corpus is currently inconsistent on purpose and should not be.",,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX08,chronic_care,URGENT,,,third,yes,,utterance,ALL_RELATIONS,Le taux de sucre dans le sang de {REL} est tres eleve.,new_draft,medium,unverified: no gloss,"{REL} as possessor. The Kinyarwanda third took a ruling to settle — whether 'ye' goes inside or after a four-word noun phrase — and French has no equivalent choice, because 'de {REL}' can only follow the whole phrase.",3,"Same, and the third is long.",,,,,machine_reviewed,,
EX09,chronic_care,URGENT,,,first,yes,,utterance,,J'ai une tension tres elevee.,new_draft,medium,unverified: no gloss,Down-registered from v1's 'une tension arterielle tres elevee'. See CC03 for why this pair needs no wording apart.,4,"'la tension', paired with CC03.",,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX09,chronic_care,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} a une tension tres elevee.,new_draft,medium,unverified: no gloss,,4,,,,,,machine_reviewed,,
EX10,chronic_care,ROUTINE,,,first,yes,,utterance,,Je voudrais renouveler les medicaments que je prends.,new_draft,medium,unverified: no gloss,"Third is applies=no, NO_RELATIONS. Checked against CC08, which is the same request for a named medicine: neither contains the other.",4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX10,chronic_care,ROUTINE,,,third,no,"applies=no 2026-09-04. Ruled NO_RELATIONS in routine_relation_sets.csv — nobody presents on another's behalf for a refill or a routine review — so no third person exists. Left open it would have been offered for authoring by walk.py, producing a row that cannot generate: the PR02 failure shape, a ruling recorded where no code path reads it. The first-person row is untouched; NO_RELATIONS is a restriction, not a deletion.",utterance,NO_RELATIONS,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
EX11,chronic_care,ROUTINE,,,first,yes,,utterance,,Je voudrais continuer a venir pour mes controles.,new_draft,medium,unverified: no gloss,"FOLLOWS THE REWRITE, AND THE DRIFT IS STILL OPEN. v1 French was 'un suivi apres un traitement precedent' — follow-up after a previous treatment. The speaker's rewrite broadened it to continuing check-ups generally ('gukomeza kujya kwa muganga kwisuzumisha'), which sits close to CC09, CC10 and EX44. English follows the rewrite and so does this. If the concept is narrowed back to the v1 reading, this row moves with it.",4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
