concept_id,person,suggested_english,candidate_origin,verdict_fidelity,confidence,form,needs_clinician,hold,suggestion_note
OB08,first,I am getting labour pains before my nine months are complete,new_draft,ok,medium,utterance,,,"gloss 'labour pains before term'. Deliberately worded away from OB07 so the two preterm concepts do not converge: OB07 is the waters, OB08 is the pains, and neither phrase contains the other."
OB08,third,{REL} is getting labour pains before her nine months are complete,new_draft,ok,medium,utterance,,,person transform of the first.
OB09,first,I have a fever and I am pregnant,new_draft,ok,medium,utterance,,,"gloss 'fever in pregnancy'. CLAUSE ORDER REVERSED 2026-09-04 to break a phrase-group union: as 'I am pregnant and I have a fever' the third person shared exactly 30 characters with OB01 third ('{REL} is pregnant and she has had a fit') and PREFIX_UNION_CHARS is 30, so a CRITICAL and an URGENT concept would have been held out as one unit. Content is unchanged from the speaker's 'Ndatwite kandi mfite umuriro.' — only the clause order moves, and leading with the symptom is arguably the better patient register anyway."
OB09,third,{REL} has a fever and she is pregnant,new_draft,ok,medium,utterance,,,person transform of the first; see that row for why the clause order is reversed. Shared prefix with OB01 third is now 6.
OB10,first,I am pregnant and I vomit everything I eat,new_draft,ok,medium,utterance,,,"gloss 'persistent vomiting in pregnancy'. Note the overlap with GI01 'vomiting everything, I cannot keep water down' — same sign, different concept, distinguished only by the pregnancy clause. Neither phrase contains the other, but they will sit near each other in any similarity check."
OB10,third,{REL} is pregnant and she vomits everything she eats,new_draft,ok,medium,utterance,,,person transform of the first.
OB11,first,I am pregnant and I want to come for my check-up,new_draft,ok,medium,utterance,,,"gloss 'routine antenatal check'. FLAG: PR05 is 'first antenatal booking visit' and is ruled OBSTETRIC_RELATIONS for the same reason this row is. Two antenatal-visit concepts one word apart is a duplicate candidate — it should be ruled before either generates, not after."
OB11,third,{REL} is pregnant and she wants to come for her check-up,new_draft,ok,medium,utterance,,,"person transform of the first. The Kinyarwanda third here is the row whose NO_RELATIONS ruling conflicted with an accepted phrase; it was re-ruled to the obstetric four on 2026-09-04, which is the ruling this row resolves under."
OB12,first,I want advice on how to breastfeed my baby,new_draft,ok,medium,utterance,,,"gloss 'breastfeeding advice after delivery'. Rule 12: the requester and the beneficiary are the mother, so first person is ordinary here."
OB12,third,{REL} wants advice on how to breastfeed her baby,new_draft,ok,medium,utterance,,CLEAR,"HOLD LIFTED 2026-09-04 by the reviewer's ruling: Mama is dropped from this concept's relation set, so the implication that the speaker's own mother has recently delivered cannot arise. The set is OBSTETRIC_RELATIONS_NO_MOTHER — My wife, My sister, My neighbour — derived from the obstetric four rather than retyped. THE SAME RULING IS OWED TO THE KINYARWANDA RECORD: routine_relation_sets.csv still has OB12 as HELD, and until it is updated the ruling lives only in english_relations.PENDING_RULINGS, which is a second source of truth and must not stay one."
