concept_id,person,suggested_english,candidate_origin,verdict_fidelity,confidence,form,hold,suggestion_note
EX29,first,I have had a mild fever for one day but nothing else is wrong,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"CORRECTED. The candidate here was the stale v1 'a mild cough with no fever', which after the EX30 collapse describes CR07's concept rather than this one. The speaker's rewrite moved EX29 from cough to fever — 'mfite umuriro woroheje umaze umunsi umwe, ariko nta kindi kibazo mfite' — and IF07 was removed as a duplicate of it. CARRIES A DURATION: 'for one day' is the concept, so this row joins section 9's list in docs/urgency-frame-coupling.md."
EX29,third,{REL} has had a mild fever for one day but nothing else is wrong,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} afite umuriro woroheje umaze umunsi umwe, ariko nta kindi kibazo afite.' CHILD_RELATIONS by ruling."
EX31,first,My nose is running a little,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'amazuru arantemba gake'. THIS IS THE ROW WITH NO v1 COUNTERPART IN ANY LANGUAGE — the speaker ADDED it to the first brief, restoring the mild-runny-nose concept that EX30's rewrite vacated. So this English is drafted from their Kinyarwanda alone, with no v1 text behind it."
EX31,third,{REL}'s nose is running a little,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} amazuru ye aratemba gake.' CHILD_RELATIONS by ruling."
IF01,first,I have a fever and my neck is stiff,new_draft,ok,medium,utterance,CLEAR,"HOLD LIFTED — the Kinyarwanda hold is on an unvalidated draft word, not on the concept: ''ijosi ryarakomeye' is an unvalidated draft, not speaker wording. Do not substitute a guess.' The CONCEPT is settled — IMCI stiff neck, VERY SEVERE FEBRILE DISEASE — and English has ordinary wording for it. Fourth in the series after PA08, CR05 and GI03."
IF01,third,{REL} has a fever and their neck is stiff,new_draft,ok,medium,utterance,CLEAR,"HOLD LIFTED. The Kinyarwanda third was held only because its first was ('drafting the third would transform a guess'), which does not apply once the English first is not a guess."
IF03,first,I have a fever and I cannot drink anything,new_draft,ok,medium,utterance,CLEAR,"HOLD LIFTED, same ground. IMCI general danger sign, not able to drink. The Kinyarwanda note says 'precision matters. Draft held as-is pending clinician confirmation; no alternative invented' — the precision at risk is the Kinyarwanda wording's, and 'cannot drink anything' is the sign as IMCI states it. Note the axis against PA02, which takes the breastfeeding limb of the same anchor."
IF03,third,{REL} has a fever and cannot drink anything,new_draft,ok,medium,utterance,CLEAR,"HOLD LIFTED, as IF01 third."
IF04,first,"I have had fever, chills and sweating for several days",new_draft,ok,medium,utterance,CLEAR,"HOLD LIFTED — the Kinyarwanda block is one unvalidated word, ''nkabira ibyuya' for sweating is unvalidated'. English has ordinary wording. CARRIES A DURATION and joins section 9's list; 'several days' rather than 'three days' at least avoids reproducing an ONSET string verbatim, though it does not avoid the semantic collision."
IF04,third,"{REL} has had fever, chills and sweating for several days",new_draft,ok,medium,utterance,CLEAR,"HOLD LIFTED, as IF01 third."
IF05,first,I have a fever and a rash all over my body,new_draft,ok,medium,utterance,,"gloss 'fever with generalised rash', IMCI MEASLES. Matches 'Mfite umuriro kandi mfite uduheri ku mubiri wose.'"
IF05,third,{REL} has a fever and a rash all over their body,new_draft,ok,medium,utterance,,"matches '{REL} afite umuriro n'uduheri ku mubiri wose.' NOTE ON THE EX42 COLLISION: in Kinyarwanda EX42's phrase is this one minus 'wose', so it sits whole inside it — one of the five multi-concept groups. The English does not collide, but NOT because it was worded around: IF05's gloss supplies 'rash' and EX42's diminutive 'uduheri' supplies 'small spots', so the two faithful renderings diverge on their own. The pair remains a live collapse candidate — same sign, and after the PA06 ruling their anchors agree."
IF06,first,I have a fever and it burns when I pass urine,new_draft,ok,medium,utterance,CLEAR,"HOLD LIFTED — the Kinyarwanda block is wording and register: ''iyo nihagarika' is unvalidated and may be the wrong register'. English has a plain patient phrase for dysuria."
IF06,third,{REL} has a fever and says it burns when they pass urine,new_draft,ok,medium,utterance,CLEAR,"HOLD LIFTED. 'Says' per the rule EX36 and EX37 established: burning on urination is subjective and cannot be observed, so a third person is relaying it. Contrast IF01 third, where a stiff neck is visible and no reporting verb is needed."
