concept_id,person,suggested_english,candidate_origin,verdict_fidelity,confidence,form,hold,suggestion_note
GI02,first,I am vomiting blood,new_draft,ok,medium,utterance,,"gloss 'vomiting blood'. Matches 'Ndaruka amaraso.' Short because the concept is one fact, as the speaker's phrase is. It was the shortest candidate in the inventory and therefore the likeliest to fall inside another phrase — checked, it does not."
GI02,third,{REL} is vomiting blood,new_draft,ok,medium,utterance,,"matches '{REL} araruka amaraso.'"
GI03,first,My stool is black like tar,new_draft,ok,medium,utterance,CLEAR,"HOLD LIFTED — the Kinyarwanda block is purely lexical and does not transfer. No word for stool exists in the approved vocabulary: 'umwanda', 'amabyi', 'ubwiherero', 'kwituma' and 'amase' were all checked and none is usable, and an outreach question is open with the speaker. English has no such gap. Same shape as PA08's ear term and CR05's wheeze. Replaces the sheet draft of the same wording, now declared as an utterance."
GI03,third,{REL}'s stool is black like tar,new_draft,ok,medium,utterance,CLEAR,"HOLD LIFTED for the same reason — the Kinyarwanda third was blocked only because its first person was."
GI05,first,I have blood in my stool,new_draft,ok,medium,utterance,,"gloss 'blood in the stool'. FLAG, a lexical divergence rather than a concept one: the speaker's phrase is 'Mfite impiswi zirimo amaraso.' — DIARRHOEA with blood in it, not stool — because no stool noun is attested for them. English follows the gloss. The difference is a Kinyarwanda vocabulary constraint, not a choice, so it should not be propagated into English the way a genuine parity difference would be. If the outreach reply supplies a stool word, the Kinyarwanda may narrow to match."
GI05,third,{REL} has blood in their stool,new_draft,ok,medium,utterance,,"matches the shape of '{REL} afite impiswi zirimo amaraso.' with the same stool/diarrhoea flag as the first person."
GI06,first,I have had diarrhoea for more than two weeks,new_draft,ok,medium,utterance,,"gloss 'diarrhoea lasting more than fourteen days'. Matches 'Maze ibyumweru birenga bibiri ndwaye impiswi.' Two weeks is the axis against EX12's three days; both carry their own duration and both collide with the ONSET slot. Note the Kinyarwanda shares a 30-character head with CR06 ('Maze ibyumweru birenga bibiri ...'), which the old prefix rule unioned and the subsequence rule correctly does not."
GI06,third,{REL} has had diarrhoea for more than two weeks,new_draft,ok,medium,utterance,,"matches '{REL} amaze ibyumweru birenga bibiri arwaye impiswi.'"
GI07,first,I have severe pain in my stomach that will not go away,new_draft,ok,medium,utterance,,"gloss 'severe abdominal pain that will not settle'. Matches 'Inda irandya cyane kandi ububabare ntibuhagarara.' Worded so EX14 is not inside it — see EX14's note, and the duplicate flag there."
GI07,third,{REL} has severe pain in the stomach that will not go away,new_draft,ok,medium,utterance,,"matches '{REL} arababara cyane mu nda kandi ububabare ntibuhagarara.' 'The stomach' rather than 'their stomach' so EX14 third is not a subsequence of it — the possessive would have made it one."
